version,season,week,metric,test,identical,max_abs_diff,note
v1,2022,11,early_epa,poison,True,0.0,
v1,2022,11,early_epa,truncate,True,0.0,
v1,2022,11,early_sr,poison,True,0.0,
v1,2022,11,early_sr,truncate,True,0.0,
v1,2022,11,fumble_rate,poison,True,0.0,
v1,2022,11,fumble_rate,truncate,True,0.0,
v1,2022,11,int_rate,poison,True,0.0,
v1,2022,11,int_rate,truncate,True,0.0,
v2,2022,11,epa,poison,True,0.0,
v2,2022,11,epa,truncate,True,0.0,
v2,2022,11,pass_epa,poison,True,0.0,
v2,2022,11,pass_epa,truncate,True,0.0,
v2,2022,11,rush_epa,poison,True,0.0,
v2,2022,11,rush_epa,truncate,True,0.0,
v2,2022,11,sr,poison,True,0.0,
v2,2022,11,sr,truncate,True,0.0,
v2,2022,11,pass_sr,poison,True,0.0,
v2,2022,11,pass_sr,truncate,True,0.0,
v2,2022,11,rush_sr,poison,True,0.0,
v2,2022,11,rush_sr,truncate,True,0.0,
v2,2022,11,cpoe,poison,True,0.0,
v2,2022,11,cpoe,truncate,True,0.0,
v2,2022,11,pass_oe,poison,True,0.0,
v2,2022,11,pass_oe,truncate,True,0.0,
v2,2022,11,sec_per_play,poison,True,0.0,
v2,2022,11,sec_per_play,truncate,True,0.0,
v2,2022,11,to_rate,poison,True,0.0,
v2,2022,11,to_rate,truncate,True,0.0,
v2,2022,11,epa_noto,poison,True,0.0,
v2,2022,11,epa_noto,truncate,True,0.0,
v2,2022,11,sr_noto,poison,True,0.0,
v2,2022,11,sr_noto,truncate,True,0.0,
v2,2022,11,early_epa,poison,True,0.0,
v2,2022,11,early_epa,truncate,True,0.0,
v2,2022,11,early_sr,poison,True,0.0,
v2,2022,11,early_sr,truncate,True,0.0,
v2,2022,11,fumble_rate,poison,True,0.0,
v2,2022,11,fumble_rate,truncate,True,0.0,
v2,2022,11,int_rate,poison,True,0.0,
v2,2022,11,int_rate,truncate,True,0.0,
v1,2023,2,epa,poison,True,0.0,
v1,2023,2,epa,truncate,True,0.0,
v1,2023,2,pass_epa,poison,True,0.0,
v1,2023,2,pass_epa,truncate,True,0.0,
v1,2023,2,rush_epa,poison,True,0.0,
v1,2023,2,rush_epa,truncate,True,0.0,
v1,2023,2,sr,poison,True,0.0,
v1,2023,2,sr,truncate,True,0.0,
v1,2023,2,pass_sr,poison,True,0.0,
v1,2023,2,pass_sr,truncate,True,0.0,
v1,2023,2,rush_sr,poison,True,0.0,
v1,2023,2,rush_sr,truncate,True,0.0,
v1,2023,2,cpoe,poison,True,0.0,
v1,2023,2,cpoe,truncate,True,0.0,
v1,2023,2,pass_oe,poison,True,0.0,
v1,2023,2,pass_oe,truncate,True,0.0,
v1,2023,2,sec_per_play,poison,True,0.0,
v1,2023,2,sec_per_play,truncate,True,0.0,
v1,2023,2,to_rate,poison,True,0.0,
v1,2023,2,to_rate,truncate,True,0.0,
v1,2023,2,epa_noto,poison,True,0.0,
v1,2023,2,epa_noto,truncate,True,0.0,
v1,2023,2,sr_noto,poison,True,0.0,
v1,2023,2,sr_noto,truncate,True,0.0,
v1,2023,2,early_epa,poison,True,0.0,
v1,2023,2,early_epa,truncate,True,0.0,
v1,2023,2,early_sr,poison,True,0.0,
v1,2023,2,early_sr,truncate,True,0.0,
v1,2023,2,fumble_rate,poison,True,0.0,
v1,2023,2,fumble_rate,truncate,True,0.0,
v1,2023,2,int_rate,poison,True,0.0,
v1,2023,2,int_rate,truncate,True,0.0,
v2,2023,2,epa,poison,True,0.0,
v2,2023,2,epa,truncate,True,0.0,
v2,2023,2,pass_epa,poison,True,0.0,
v2,2023,2,pass_epa,truncate,True,0.0,
v2,2023,2,rush_epa,poison,True,0.0,
v2,2023,2,rush_epa,truncate,True,0.0,
v2,2023,2,sr,poison,True,0.0,
v2,2023,2,sr,truncate,True,0.0,
v2,2023,2,pass_sr,poison,True,0.0,
v2,2023,2,pass_sr,truncate,True,0.0,
v2,2023,2,rush_sr,poison,True,0.0,
v2,2023,2,rush_sr,truncate,True,0.0,
v2,2023,2,cpoe,poison,True,0.0,
v2,2023,2,cpoe,truncate,True,0.0,
v2,2023,2,pass_oe,poison,True,0.0,
v2,2023,2,pass_oe,truncate,True,0.0,
v2,2023,2,sec_per_play,poison,True,0.0,
v2,2023,2,sec_per_play,truncate,True,0.0,
v2,2023,2,to_rate,poison,True,0.0,
v2,2023,2,to_rate,truncate,True,0.0,
v2,2023,2,epa_noto,poison,True,0.0,
v2,2023,2,epa_noto,truncate,True,0.0,
v2,2023,2,sr_noto,poison,True,0.0,
v2,2023,2,sr_noto,truncate,True,0.0,
v2,2023,2,early_epa,poison,True,0.0,
v2,2023,2,early_epa,truncate,True,0.0,
v2,2023,2,early_sr,poison,True,0.0,
v2,2023,2,early_sr,truncate,True,0.0,
v2,2023,2,fumble_rate,poison,True,0.0,
v2,2023,2,fumble_rate,truncate,True,0.0,
v2,2023,2,int_rate,poison,True,0.0,
v2,2023,2,int_rate,truncate,True,0.0,
