player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta
6187,Drake Maye,QB,NE,64.8,6.05,84,49,77,5.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5443,Jaylen Warren,RB,PIT,66.0,6.06,40,57,74,4.4,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6193,Marvin Harrison Jr.,WR,ARI,66.1,6.06,131,48,81,7.6,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2876,DJ Moore,WR,BUF,66.8,6.07,278,47,86,7.5,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6502,Harold Fannin Jr.,TE,CLE,69.1,6.09,31,57,77,5.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5564,Sam LaPorta,TE,DET,69.7,6.10,60,46,88,9.1,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5210,Rhamondre Stevenson,RB,NE,70.7,6.11,40,54,83,6.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
4880,Michael Pittman Jr.,WR,PIT,70.8,6.11,83,50,86,8.0,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5718,Tucker Kraft,TE,GB,72.2,6.12,56,56,90,7.8,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5705,Parker Washington,WR,JAX,72.4,6.12,70,51,86,8.2,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
3435,Tony Pollard,RB,TEN,73.3,7.01,58,63,89,6.3,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
4887,Justin Herbert,QB,LAC,74.5,7.02,98,51,110,11.2,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2862,Courtland Sutton,WR,DEN,74.5,7.02,100,57,86,6.7,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2462,Patrick Mahomes,QB,KC,74.9,7.03,39,62,103,9.7,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6776,Jadarian Price,RB,SEA,75.5,7.03,167,58,95,7.5,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
