name,team,adp,position,curve,out_of_support,board_value,post_SD,pi,sd,value_final,view
Tank Bigsby,PHI,155.6,RB,7.491790151433535,False,7.491790151433535,2.6352914885520216,7.491790151433535,2.6352914885520216,7.491790151433535,0.0
Tyrone Tracy Jr.,NYG,156.1,RB,7.491790151433535,False,7.491790151433535,2.7677662603880653,7.491790151433535,2.7677662603880653,7.491790151433534,-8.881784197001252e-16
Keaton Mitchell,LAC,157.1,RB,7.491790151433535,False,7.491790151433535,2.6352914885520216,7.491790151433535,2.6352914885520216,7.491790151433535,0.0
Jaydon Blue,DAL,160.2,RB,7.491790151433535,False,7.491790151433535,3.38266902990673,7.491790151433535,3.38266902990673,7.491790151433535,0.0
Chris Rodriguez Jr.,JAX,160.6,RB,7.491790151433535,False,,,7.491790151433535,2.6258961166081507,7.491790151433536,8.881784197001252e-16
Kaelon Black,SF,161.0,RB,7.488245661496985,False,,,7.488245661496985,2.6258961166081507,7.488245661496986,8.881784197001252e-16
Ray Davis,BUF,161.4,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
AJ Dillon,CAR,161.4,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
Tyler Allgeier,ARI,161.4,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
Mike Washington Jr.,LV,162.2,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
James Conner,ARI,163.1,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
Justice Hill,BAL,163.6,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
Dylan Sampson,CLE,164.1,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
Emari Demercado,KC,164.4,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
Brian Robinson Jr.,ATL,164.9,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
Samaje Perine,CIN,165.1,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
Nicholas Singleton,TEN,165.3,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
Jordan James,SF,166.3,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
Ty Johnson,BUF,167.0,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
Demond Claiborne,MIN,168.4,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
Kimani Vidal,LAC,172.2,RB,7.481169871794871,False,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
Emmett Johnson,KC,174.2,RB,7.481169871794871,True,,,7.481169871794871,2.6258961166081507,7.481169871794872,8.881784197001252e-16
