name,team,adp,position,value_final,rk,adp_rk,edge
Isiah Pacheco,DET,148.9,RB,7.491790151433535,183,148,-35
Tank Bigsby,PHI,155.6,RB,7.491790151433535,184,154,-30
Tyrone Tracy Jr.,NYG,156.1,RB,7.491790151433533,185,156,-29
Kaelon Black,SF,161.0,RB,7.488245661496986,186,173,-13
Nicholas Singleton,TEN,165.3,RB,7.481169871794872,187,189,2
Dylan Sampson,CLE,164.1,RB,7.481169871794872,188,183,-5
Ray Davis,BUF,161.4,RB,7.481169871794872,189,175,-14
AJ Dillon,CAR,161.4,RB,7.481169871794872,190,175,-15
Tyler Allgeier,ARI,161.4,RB,7.481169871794872,191,175,-16
Mike Washington Jr.,LV,162.2,RB,7.481169871794872,192,177,-15
James Conner,ARI,163.1,RB,7.481169871794872,193,179,-14
Justice Hill,BAL,163.6,RB,7.481169871794872,194,180,-14
Samaje Perine,CIN,165.1,RB,7.481169871794872,195,188,-7
Emari Demercado,KC,164.4,RB,7.481169871794872,196,184,-12
Brian Robinson Jr.,ATL,164.9,RB,7.481169871794872,197,186,-11
Jordan James,SF,166.3,RB,7.481169871794872,198,190,-8
Ty Johnson,BUF,167.0,RB,7.481169871794872,199,192,-7
Demond Claiborne,MIN,168.4,RB,7.481169871794872,200,194,-6
Kimani Vidal,LAC,172.2,RB,7.481169871794872,201,197,-4
Emmett Johnson,KC,174.2,RB,7.481169871794872,202,199,-3
Brenton Strange,,163.8,TE,6.988390887251563,203,181,-22
Chig Okonkwo,,164.8,TE,5.751710643142784,204,185,-19
