pos,gsis_id,season,mean_t,mean_t1,p25_t,p25_t1,p90_t,p90_t1,iqr_t,iqr_t1,sd_t,sd_t1,bust_t,bust_t1,boom_t,boom_t1
RB,00-0037746,2024,11.414285714285713,3.90625,8.675,2.1,17.9,8.350000000000001,5.824999999999999,1.9250000000000003,5.771529212483417,3.1594237343751996,0.14069372538173164,0.4533209343650335,0.36585794566145985,0.07804418802085065
TE,00-0037809,2022,7.958333333333335,6.670588235294117,4.85,5.6,13.16,9.48,6.450000000000001,2.700000000000001,5.139058692253304,3.9429945323767495,0.14494746196303243,0.11485052526797063,0.3154995981864604,0.21174662508884903
TE,00-0037809,2023,6.670588235294117,6.942857142857144,5.6,3.65,9.48,13.000000000000004,2.700000000000001,5.725,3.9429945323767495,5.055037744014045,0.11485052526797063,0.11702921077146353,0.21174662508884903,0.25672036675324816
TE,00-0037809,2024,6.942857142857144,7.294117647058824,3.65,4.0,13.000000000000004,12.760000000000002,5.725,5.300000000000001,5.055037744014045,4.482670881884384,0.11702921077146353,0.13092218367645145,0.25672036675324816,0.32202889788785083
WR,00-0037816,2022,8.233333333333333,10.899999999999999,4.925,6.449999999999999,15.95,18.4,6.375000000000001,10.25,6.329775715304659,5.640449154692086,0.4816978124885091,0.4152142818337333,0.13046738673588495,0.06359025871150831
WR,00-0037816,2023,10.899999999999999,10.161538461538461,6.449999999999999,6.8,18.4,18.68,10.25,8.0,5.640449154692086,5.891312595896105,0.4152142818337333,0.3627313649230211,0.06359025871150831,0.12164806868787277
WR,00-0037816,2024,10.161538461538461,10.337499999999999,6.8,5.324999999999999,18.68,17.75,8.0,6.975000000000001,5.891312595896105,7.260842467188868,0.3627313649230211,0.33655388539401077,0.12164806868787277,0.09402929312487787
QB,00-0037834,2023,18.475,17.790666666666667,14.25,13.510000000000002,26.4,25.912,10.05,10.45,7.4655243173760635,8.156458848813065,0.12336273963478787,0.13944742158532522,0.3889962712308417,0.42759641008341026
QB,00-0037834,2024,17.790666666666667,19.70888888888889,13.510000000000002,16.78,25.912,32.104,10.45,9.419999999999998,8.156458848813065,10.294518498264555,0.13944742158532522,0.17196545625247997,0.42759641008341026,0.3633457285851475
TE,00-0037838,2022,6.823076923076922,10.488888888888887,1.8,8.0,16.680000000000007,18.419999999999998,7.6000000000000005,10.0,6.332476325281952,6.846430537959989,0.23709108348349606,0.16234640459265853,0.2659758981245159,0.3679616136668422
TE,00-0037838,2023,10.488888888888887,9.533333333333335,8.0,4.375,18.419999999999998,16.150000000000002,10.0,8.25,6.846430537959989,6.827129482417701,0.16234640459265853,0.06583767939345801,0.3679616136668422,0.3581965645178667
TE,00-0037838,2024,9.533333333333335,5.950000000000001,4.375,2.9749999999999996,16.150000000000002,12.5,8.25,5.200000000000001,6.827129482417701,3.993675555731142,0.06583767939345801,0.12913022175966096,0.3581965645178667,0.3563247206328638
RB,00-0037840,2022,3.8125000000000004,21.25,0.85,15.875,7.53,29.89,4.925000000000001,11.899999999999999,3.1160586368955623,9.067374081136872,0.38002693401107546,0.02977312789397858,0.12879594572603037,0.711164435639237
RB,00-0037840,2023,21.25,17.00625,15.875,12.7,29.89,23.15,11.899999999999999,7.324999999999999,9.067374081136872,5.917484685235781,0.02977312789397858,0.030503975335325083,0.711164435639237,0.6321979939214689
RB,00-0037840,2024,17.00625,15.488235294117647,12.7,11.1,23.15,22.04,7.324999999999999,6.6,5.917484685235781,6.114826484960671,0.030503975335325083,0.03705889558379811,0.6321979939214689,0.5351859268363864
TE,00-0038041,2023,10.912500000000001,7.869230769230769,7.025,4.3,17.2,13.88,6.324999999999999,7.6000000000000005,5.2348670788601055,4.518182638957213,0.08125204321763893,0.12032610987198915,0.41443537773676903,0.34429615147417086
TE,00-0038041,2024,7.869230769230769,11.75625,4.3,7.5249999999999995,13.88,21.549999999999997,7.6000000000000005,9.325000000000003,4.518182638957213,6.703627749211615,0.12032610987198915,0.07639970448309882,0.34429615147417086,0.42355619213543416
WR,00-0038117,2023,9.392857142857142,10.747058823529413,6.199999999999999,8.0,16.510000000000005,16.84,7.300000000000001,5.199999999999999,5.413723911819534,4.378800869966974,0.5130094649405285,0.26339438931983566,0.06916258614850035,0.11073953020432495
WR,00-0038117,2024,10.747058823529413,13.618749999999999,8.0,7.75,16.84,25.25,5.199999999999999,9.649999999999999,4.378800869966974,8.190011701253344,0.26339438931983566,0.33655388539401077,0.11073953020432495,0.21522629408578062
RB,00-0038120,2023,17.08823529411765,15.05625,10.0,9.1,28.64,25.25,16.6,10.1,11.291527927662246,7.9980804988863845,0.12006202190729234,0.030503975335325083,0.49600582951698785,0.4805318862671744
RB,00-0038120,2024,15.05625,12.97875,9.1,6.875,25.25,20.2,10.1,9.875,7.9980804988863845,7.62151505060947,0.030503975335325083,0.03876589026081976,0.4805318862671744,0.46443676607409173
WR,00-0038124,2022,13.424999999999999,11.255555555555553,5.675,5.7,24.07,21.84,15.349999999999998,5.8999999999999995,9.62526268826892,7.900492249080293,0.3157333497864607,0.40839790088305006,0.2815559050779394,0.20077540462466364
WR,00-0038124,2023,11.255555555555553,9.363636363636363,5.7,8.25,21.84,15.8,5.8999999999999995,3.6000000000000014,7.900492249080293,5.456055851486993,0.40839790088305006,0.2944751615838739,0.20077540462466364,0.12795000794603223
WR,00-0038124,2024,9.363636363636363,13.24,8.25,6.825,15.8,22.56,3.6000000000000014,13.200000000000003,5.456055851486993,7.669738515027021,0.2944751615838739,0.39172301802358817,0.12795000794603223,0.2307628163042016
RB,00-0038134,2022,13.5,13.293333333333331,9.1,8.55,24.339999999999996,20.0,6.9499999999999975,9.599999999999998,7.755182598937122,7.488607219986778,0.031530652691091836,0.1330400525222826,0.38210273841557946,0.44343593365705203
RB,00-0038134,2023,13.293333333333331,16.472727272727273,8.55,13.5,20.0,23.3,9.599999999999998,6.399999999999999,7.488607219986778,7.489871949384837,0.1330400525222826,0.040216036839118785,0.44343593365705203,0.5754325395290784
RB,00-0038134,2024,16.472727272727273,11.28823529411765,13.5,6.6,23.3,19.32,6.399999999999999,10.700000000000001,7.489871949384837,6.529632680417518,0.040216036839118785,0.08109231428092765,0.5754325395290784,0.3048171631176389
WR,00-0038393,2023,9.533333333333333,6.90625,6.375,2.8,15.34,12.7,5.65,7.2,6.206350608754542,6.486546975600089,0.394926929003772,0.4857333247158306,0.1238277599186258,0.1362113804834497
