name,position,team,adp_aug18,stdev,times_drafted,adp_jul13,adp_aug08,d_jul_aug18,d_aug08_aug18
Tyrone Tracy Jr.,RB,NYG,151.4,16.1,219,156.8,156.1,-5.400000000000006,-4.699999999999989
Pat Bryant,WR,DEN,151.6,4.7,9,,,,
Kaelon Black,RB,SF,151.7,21.5,12,,161.0,,-9.300000000000011
Jalen Nailor,WR,LV,151.7,12.0,121,132.2,159.5,19.5,-7.800000000000011
Dalton Kincaid,TE,BUF,151.9,17.2,301,133.0,153.4,18.900000000000006,-1.5
Cyrus Allen,WR,KC,152.7,23.5,14,,166.3,,-13.600000000000023
Harrison Mevis,PK,LAR,153.3,14.2,81,142.7,152.4,10.600000000000023,0.9000000000000057
Emari Demercado,RB,KC,153.6,21.6,10,,164.4,,-10.800000000000011
Cooper Kupp,WR,SEA,153.8,22.1,128,166.9,159.7,-13.099999999999994,-5.899999999999977
Kimani Vidal,RB,LAC,154.3,25.4,9,,172.2,,-17.899999999999977
Isiah Pacheco,RB,DET,154.4,19.8,197,152.7,148.9,1.700000000000017,5.5
Jacksonville Defense,DEF,JAX,154.5,14.8,445,127.7,169.6,26.799999999999997,-15.099999999999994
Cam Little,PK,JAX,155.2,17.9,296,153.1,164.4,2.0999999999999943,-9.200000000000017
Chase McLaughlin,PK,TB,155.4,13.7,126,162.2,152.8,-6.799999999999983,2.5999999999999943
Tyler Loop,PK,BAL,156.0,15.9,151,152.7,159.4,3.3000000000000114,-3.4000000000000057
Chris Boswell,PK,PIT,156.4,15.9,39,,172.5,,-16.099999999999994
Daniel Jones,QB,IND,156.5,16.5,169,167.5,158.5,-11.0,-2.0
Fernando Mendoza,QB,LV,156.6,21.1,18,,168.6,,-12.0
Tank Dell,WR,HOU,156.6,15.0,191,161.9,153.1,-5.300000000000011,3.5
San Francisco Defense,DEF,SF,156.8,65.6,9,,171.1,,-14.299999999999983
Hunter Henry,TE,NE,157.1,17.8,81,153.4,158.1,3.6999999999999886,-1.0
Nick Folk,PK,ATL,157.2,18.1,16,,166.1,,-8.900000000000006
Dalton Schultz,TE,HOU,157.4,30.3,23,169.6,157.6,-12.199999999999989,-0.19999999999998863
Green Bay Defense,DEF,GB,158.1,14.5,15,142.6,,15.5,
C.J. Stroud,QB,HOU,159.0,13.1,122,154.6,159.3,4.400000000000006,-0.30000000000001137
Will Reichard,PK,MIN,159.2,18.5,87,150.3,165.3,8.899999999999977,-6.100000000000023
Buffalo Defense,DEF,BUF,159.2,14.8,505,153.1,165.7,6.099999999999994,-6.5
Travis Hunter,WR,JAX,159.3,27.9,61,155.6,163.8,3.700000000000017,-4.5
Chris Rodriguez Jr.,RB,JAX,159.3,20.2,201,160.7,160.6,-1.3999999999999773,-1.299999999999983
Dylan Sampson,RB,CLE,160.8,17.0,62,,164.1,,-3.299999999999983
Harrison Butker,PK,KC,160.9,16.8,128,156.4,162.7,4.5,-1.799999999999983
Trey Smack,PK,GB,161.0,16.9,13,161.1,,-0.09999999999999432,
Baltimore Defense,DEF,BAL,161.1,15.5,436,155.2,168.4,5.900000000000006,-7.300000000000011
AJ Barner,TE,SEA,161.6,8.4,12,,,,
Omar Cooper Jr.,WR,NYJ,161.7,21.2,43,130.1,168.2,31.599999999999994,-6.5
Malik Willis,QB,MIA,161.8,11.9,175,163.9,159.9,-2.0999999999999943,1.9000000000000057
Eddy Piñeiro,PK,SF,161.9,16.1,48,145.4,157.4,16.5,4.5
Wil Lutz,PK,DEN,161.9,17.8,127,,169.9,,-8.0
Chig Okonkwo,TE,WAS,161.9,21.5,37,166.5,164.8,-4.599999999999994,-2.9000000000000057
Ja'Kobi Lane,WR,BAL,162.4,15.6,42,,146.4,,16.0
Jonah Coleman,RB,DEN,162.4,15.6,24,,,,
Adonai Mitchell,WR,NYJ,162.4,16.3,67,161.5,160.7,0.9000000000000057,1.700000000000017
Brian Robinson,RB,ATL,162.7,26.3,30,,,,
James Conner,RB,ARI,163.0,29.0,21,,163.1,,-0.09999999999999432
Tyler Allgeier,RB,ARI,163.3,20.7,119,167.5,161.4,-4.199999999999989,1.9000000000000057
Tyler Bass,PK,BUF,163.6,22.5,14,,171.7,,-8.099999999999994
Brenton Strange,TE,JAX,163.9,15.6,102,159.1,163.8,4.800000000000011,0.09999999999999432
Cairo Santos,PK,CHI,164.1,15.1,43,148.6,154.6,15.5,9.5
Tank Bigsby,RB,PHI,164.1,20.4,94,146.4,155.6,17.69999999999999,8.5
Keaton Mitchell,RB,LAC,164.3,29.2,75,161.7,157.1,2.6000000000000227,7.200000000000017
MarShawn Lloyd,RB,GB,165.1,19.2,26,,,,
Cleveland Defense,DEF,CLE,165.3,14.6,193,,177.6,,-12.299999999999983
Ray Davis,RB,BUF,165.6,19.5,17,,161.4,,4.199999999999989
Jordan James,RB,SF,165.7,9.2,6,,166.3,,-0.6000000000000227
Jacoby Brissett,QB,ARI,165.7,17.9,25,,162.6,,3.0999999999999943
Aaron Rodgers,QB,PIT,165.7,30.6,19,,169.0,,-3.3000000000000114
Justice Hill,RB,BAL,165.9,17.5,17,,163.6,,2.3000000000000114
Tre' Harris,WR,LAC,166.2,21.5,20,176.7,,-10.5,
Ryan Flournoy,WR,DAL,166.3,14.1,15,,176.7,,-10.399999999999977
Brandon Aiyuk,WR,SF,166.6,19.7,5,146.9,,19.69999999999999,
Dallas Defense,DEF,DAL,166.9,16.8,48,,167.1,,-0.19999999999998863
T.J. Hockenson,TE,MIN,167.1,21.5,53,153.4,153.1,13.699999999999989,14.0
Jaydon Blue,RB,DAL,167.5,7.9,8,,160.2,,7.300000000000011
Andy Borregales,PK,NE,167.8,15.0,13,,163.4,,4.400000000000006
Tennessee Defense,DEF,TEN,168.0,16.4,66,,159.7,,8.300000000000011
Jalen Tolbert,WR,MIA,168.7,11.8,6,,,,
Chicago Defense,DEF,CHI,168.9,20.6,11,174.4,172.9,-5.5,-4.0
Kayshon Boutte,WR,NE,170.1,17.6,49,,169.6,,0.5
Kenyon Sadiq,TE,NYJ,170.1,17.2,24,162.5,159.6,7.599999999999994,10.5
Zachariah Branch,WR,ATL,170.2,7.4,8,,172.5,,-2.3000000000000114
Antonio Williams,WR,WAS,170.2,8.8,8,143.2,156.9,27.0,13.299999999999983
Evan McPherson,PK,CIN,170.3,16.6,85,165.3,165.9,5.0,4.400000000000006
Kansas City Defense,DEF,KC,170.6,27.8,9,,174.0,,-3.4000000000000057
Germie Bernard,WR,PIT,171.5,13.9,31,161.3,164.9,10.199999999999989,6.599999999999994
Dontayvion Wicks,WR,PHI,171.7,15.7,112,,174.3,,-2.6000000000000227
Atlanta Defense,DEF,ATL,171.7,12.0,90,176.9,153.7,-5.200000000000017,18.0
Greg Dulcich,TE,MIA,171.8,20.7,32,,174.0,,-2.1999999999999886
New Orleans Defense,DEF,NO,172.1,17.1,71,,171.0,,1.0999999999999943
Cam Ward,QB,TEN,172.1,17.6,51,171.2,171.3,0.9000000000000057,0.799999999999983
NY Giants Defense,DEF,NYG,172.5,22.3,31,,175.6,,-3.0999999999999943
Blake Grupe,PK,IND,172.6,16.1,32,,,,
Bryce Young,QB,CAR,172.6,15.0,32,,177.1,,-4.5
Samaje Perine,RB,CIN,172.9,16.7,7,,165.1,,7.800000000000011
Miami Defense,DEF,MIA,173.4,9.0,5,,183.0,,-9.599999999999994
Kaden Wetjen,WR,PIT,173.8,3.6,9,,,,
Darius Slayton,WR,NYG,174.9,15.9,9,,,,
Cincinnati Defense,DEF,CIN,175.0,23.6,34,,174.0,,1.0
Terrance Ferguson,TE,LAR,176.7,12.9,7,,,,
Caleb Douglas,WR,MIA,177.2,26.0,37,,,,
Isaac TeSlaa,WR,DET,178.9,25.6,17,175.4,163.0,3.5,15.900000000000006
Xavier Legette,WR,CAR,190.0,16.9,6,,,,
Pat Freiermuth,TE,PIT,190.2,19.2,8,,152.0,,38.19999999999999
Washington Defense,DEF,WAS,196.9,18.2,9,168.0,172.0,28.900000000000006,24.900000000000006
