year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols
2021,Mike Evans,00-0031408,37.8,14,2014,7,15,17.34,vet,True,14.0539399865606,14.133351985789945,3.206648014210055,3.2860600134394
2021,Amari Cooper,00-0031544,40.0,15,2015,6,15,13.5,vet,True,13.926528504484608,14.133351985789945,-0.633351985789945,-0.4265285044846081
2021,Cooper Kupp,00-0033908,41.3,16,2017,4,17,25.852941176470587,vet,True,13.854494176144302,14.133351985789945,11.719589190680642,11.998447000326285
2021,Diontae Johnson,00-0035216,44.9,17,2019,2,16,17.15,vet,True,13.666260377116236,13.68010859492245,3.469891405077549,3.4837396228837623
2021,Julio Jones,00-0027944,46.0,18,2011,10,8,9.8375,vet,True,13.61174742663517,13.68010859492245,-3.8426085949224493,-3.774247426635169
2021,Chris Godwin Jr.,00-0033921,47.2,19,2017,4,14,17.314285714285713,vet,True,13.553745953969086,13.68010859492245,3.6341771193632635,3.760539760316627
2021,Tyler Lockett,00-0032211,48.4,20,2015,6,16,15.0875,vet,True,13.497200740159524,13.68010859492245,1.4073914050775507,1.5902992598404762
2021,Adam Thielen,00-0030035,52.3,21,2013,8,13,15.36923076923077,vet,True,13.32265787507659,13.11668762609939,2.25254314313138,2.0465728941541794
2021,Brandon Aiyuk,00-0036261,53.9,22,2020,1,15,11.226666666666667,soph,True,13.254787849294138,12.691904761904762,-1.465238095238096,-2.028121182627471
2021,DJ Moore,00-0034827,57.0,23,2018,3,17,13.970588235294118,vet,True,13.128839352686722,12.496525615649945,1.4740626196441724,0.841748882607396
2021,Chase Claypool,00-0036326,61.1,24,2020,1,15,11.106666666666666,soph,True,12.97239560524806,12.496525615649945,-1.3898589489832798,-1.8657289385813947
2021,Tee Higgins,00-0036410,61.3,25,2020,1,14,15.65,soph,True,12.96503525212996,12.496525615649945,3.153474384350055,2.6849647478700405
2021,Jerry Jeudy,00-0036407,64.1,26,2020,1,10,8.5,soph,True,12.864438867891273,12.496525615649945,-3.9965256156499454,-4.364438867891273
2021,Odell Beckham Jr.,00-0031235,69.0,27,2014,7,13,9.807692307692308,vet,True,12.698532129311765,11.833267719934385,-2.025575412242077,-2.8908398216194566
2021,Michael Thomas,00-0032765,69.5,28,2016,5,0,,vet,False,12.682270209930783,11.833267719934385,,
2021,Antonio Brown,00-0027793,72.7,29,2010,11,7,17.3,vet,True,12.580885282608607,11.833267719934385,5.4667322800656155,4.719114717391394
2021,Robbie Chosen,00-0032688,75.0,30,2016,5,16,8.65625,vet,True,12.510734562330327,8.65625,0.0,-3.8544845623303274
2022,Justin Jefferson,00-0036322,4.6,1,2020,2,17,21.685882352941178,vet,True,18.79778165809375,18.700576563958915,2.985305788982263,2.8881006948474273
2022,Cooper Kupp,00-0033908,5.7,2,2017,5,9,22.37777777777778,vet,True,18.314873584145303,18.25394794129773,4.1238298364800485,4.062904193632477
2022,Ja'Marr Chase,00-0036900,8.7,3,2021,1,12,20.2,soph,True,17.36248745516712,18.00710576923077,2.1928942307692303,2.8375125448328795
2022,Davante Adams,00-0031381,12.0,4,2014,8,17,19.735294117647058,vet,True,16.638195576410553,16.94065359477124,2.7946405228758167,3.0970985412365053
2022,Stefon Diggs,00-0031588,13.6,5,2015,7,16,19.7875,vet,True,16.35629487886352,16.281429738562093,3.506070261437909,3.4312051211364825
2022,CeeDee Lamb,00-0036358,17.5,6,2020,2,17,17.741176470588233,vet,True,15.788428588869056,16.174372178623514,1.5668042919647185,1.9527478817191763
2022,Deebo Samuel Sr.,00-0035719,19.6,7,2019,3,13,12.953846153846154,vet,True,15.53318223849679,15.309814510824573,-2.355968356978419,-2.5793360846506364
