player_id,name,season,n_games,adot,target_share,yac_per_rec,td_per_target,slot,ppg,cluster,is_top30_recent
00-0030564,DeAndre Hopkins,2019,15,10.1133,0.3012,3.7212,0.0467,0,17.9027,1,False
00-0030564,DeAndre Hopkins,2020,16,8.95,0.2783,4.513,0.0375,0,17.9875,1,False
00-0030564,DeAndre Hopkins,2021,10,12.3125,0.2,3.3333,0.125,0,14.72,0,False
00-0030564,DeAndre Hopkins,2022,9,10.1667,0.2815,2.5781,0.0312,0,16.8556,1,False
00-0030564,DeAndre Hopkins,2023,17,14.1168,0.2773,2.9733,0.0511,0,13.1529,1,False
00-0030564,DeAndre Hopkins,2024,14,11.359,0.1542,2.0926,0.0641,0,10.3143,1,False
00-0030564,DeAndre Hopkins,2025,11,11.8182,0.1191,1.95,0.0606,0,5.4909,0,False
00-0030663,Willie Snead,2015,14,10.11,0.1675,5.0,0.03,0,13.1,1,False
00-0030663,Willie Snead,2016,14,6.9806,0.1764,5.2394,0.0388,0,13.4429,1,False
00-0030663,Willie Snead,2018,14,8.1053,0.1866,4.5484,0.0105,0,9.6,1,False
00-0030663,Willie Snead,2019,12,9.2381,0.128,3.9655,0.119,0,7.575,0,False
00-0030663,Willie Snead,2020,12,8.9574,0.1442,5.6667,0.0638,0,7.85,0,False
00-0030669,Albert Wilson,2015,13,10.2679,0.1501,6.2571,0.0357,1,7.2846,2,False
00-0030669,Albert Wilson,2016,8,7.4444,0.1471,4.0741,0.0444,1,8.8,2,False
00-0030669,Albert Wilson,2017,12,6.1148,0.1517,7.5714,0.0492,1,9.6667,2,False
00-0030669,Albert Wilson,2019,13,5.2742,0.1213,4.1628,0.0161,1,6.8769,2,False
00-0030669,Albert Wilson,2021,10,5.3846,0.108,5.72,0.0,1,4.8,2,False
00-0030670,Bennie Fowler,2017,12,10.3704,0.1244,3.3929,0.0556,0,6.6,1,False
00-0030670,Bennie Fowler,2019,8,10.2778,0.1136,1.2609,0.0,0,5.7875,1,False
00-0030801,Brandon Coleman,2015,8,14.0244,0.1262,3.9231,0.0488,0,9.4,0,False
00-0030801,Brandon Coleman,2016,9,11.2647,0.0867,3.1304,0.0294,0,5.9889,1,False
00-0030801,Brandon Coleman,2017,9,8.8438,0.0997,4.0526,0.0625,0,5.9,0,False
00-0030821,Allen Hurns,2014,16,10.8351,0.1741,4.0196,0.0619,0,9.6688,1,False
00-0030821,Allen Hurns,2015,15,11.581,0.1839,5.4219,0.0952,0,15.0067,0,False
00-0030821,Allen Hurns,2016,11,9.8553,0.1723,6.0286,0.0395,0,9.1545,1,False
00-0030821,Allen Hurns,2017,10,9.6786,0.1739,4.4872,0.0357,0,9.94,1,False
00-0030821,Allen Hurns,2018,9,10.6774,0.1103,3.625,0.0323,0,4.7444,1,False
00-0030821,Allen Hurns,2019,12,10.9333,0.0953,3.0,0.0222,0,6.125,1,False
00-0030990,Josh Huff,2015,11,5.2368,0.08,6.0,0.0526,0,5.7455,0,False
00-0031023,Quincy Enunwa,2015,10,9.7333,0.1134,6.7273,0.0,0,5.35,0,False
00-0031023,Quincy Enunwa,2016,16,8.9333,0.1909,6.069,0.0381,0,10.5562,1,False
00-0031023,Quincy Enunwa,2018,10,7.2836,0.2081,7.4324,0.0149,0,8.7,1,False
00-0031051,John Brown,2014,16,14.835,0.1813,3.75,0.0485,0,9.1875,1,False
00-0031051,John Brown,2015,15,14.7624,0.1927,4.8462,0.0693,0,13.8333,0,False
00-0031051,John Brown,2016,13,13.9583,0.139,2.5385,0.0278,0,7.9769,1,False
00-0031051,John Brown,2017,10,15.4182,0.1459,2.8095,0.0545,0,6.99,0,False
00-0031051,John Brown,2018,15,16.3438,0.1788,3.5854,0.0521,0,9.3733,0,False
00-0031051,John Brown,2019,15,14.4957,0.2431,2.9167,0.0522,0,14.6547,1,False
00-0031051,John Brown,2020,9,12.3654,0.163,5.3636,0.0577,0,10.7556,0,False
00-0031068,Ryan Grant,2015,10,9.3,0.1084,4.1818,0.05,0,5.89,1,False
00-0031068,Ryan Grant,2017,15,9.7031,0.1248,4.9318,0.0625,0,8.1667,0,False
00-0031068,Ryan Grant,2018,11,9.2449,0.1017,2.8438,0.0204,0,6.2727,1,False
00-0031118,Corey Brown,2015,12,14.6981,0.138,2.7,0.0755,0,8.375,0,False
00-0031118,Corey Brown,2016,14,10.2885,0.1048,4.1923,0.0192,0,4.2786,1,False
00-0031166,Seth Roberts,2015,13,8.7885,0.1092,4.4667,0.0769,1,7.7462,2,False
00-0031166,Seth Roberts,2016,16,8.3506,0.1292,5.1316,0.0649,1,6.9812,2,False
00-0031166,Seth Roberts,2017,13,9.6349,0.1403,2.4762,0.0,1,6.2769,2,False
00-0031166,Seth Roberts,2018,14,9.0794,0.1321,4.5455,0.0317,1,7.4857,2,False
00-0031166,Seth Roberts,2019,10,9.871,0.1092,3.4211,0.0323,1,4.96,2,False
00-0031189,T.J. Jones,2017,11,10.3469,0.1178,2.5667,0.0204,0,7.0818,1,False
00-0031228,Taylor Gabriel,2014,15,14.0423,0.153,7.0833,0.0141,0,7.0067,0,False
00-0031228,Taylor Gabriel,2015,11,7.7872,0.109,3.8889,0.0,0,4.6727,1,False
00-0031228,Taylor Gabriel,2016,12,10.46,0.125,8.1143,0.12,0,11.6667,0,False
00-0031228,Taylor Gabriel,2017,13,10.5833,0.1119,7.0,0.0208,0,6.0077,0,False
00-0031228,Taylor Gabriel,2018,16,11.172,0.1816,3.2239,0.0215,0,9.4938,1,False
00-0031228,Taylor Gabriel,2019,9,11.5833,0.1481,2.7241,0.0833,0,10.0333,0,False
