pos,a,b,adp_a,adp_b,val_a,val_b,d_p25,d_p90,d_bust,d_boom,shape_dist,p25_a,p25_b,p90_a,p90_b,bust_a,bust_b,boom_a,boom_b,n_a,n_b
WR,Matthew Golden,Jalen Coker,119.9,126.1,10.169649826735766,10.169649826735762,-2.8249999999999997,-6.300000000000001,0.03319178528264888,-0.010765631684287208,9.125,2.725,5.55,11.18,17.48,0.5532856563575601,0.5200938710749112,0.0897457444467263,0.1005113761310135,12,19
RB,Samaje Perine,Kimani Vidal,165.1,172.2,7.481169871794872,7.481169871794872,1.4,-7.719999999999999,-0.1903690662769008,-0.165991022692768,9.12,3.8,2.4,11.98,19.7,0.2137375170909332,0.404106583367834,0.0561019410222104,0.2220929637149784,45,21
RB,AJ Dillon,Kimani Vidal,161.4,172.2,7.481169871794872,7.481169871794872,-0.4249999999999998,-8.559999999999999,-0.10004953534619049,-0.1500072523950235,8.985,1.975,2.4,11.14,19.7,0.3040570480216435,0.404106583367834,0.0720857113199549,0.2220929637149784,20,21
QB,Jordan Love,Daniel Jones,148.4,158.5,15.56658179584737,15.56658179584737,6.43,2.5519999999999996,-0.06778930509415088,-0.03347033328371879,8.982,13.59,7.16,25.968,23.416,0.1597901602152121,0.227579465309363,0.2848631956774681,0.3183335289611869,47,29
WR,Calvin Ridley,Jerry Jeudy,130.2,133.6,10.169649826735766,10.169649826735766,2.4000000000000004,6.579999999999998,-0.0314105426502303,0.11160348770387189,8.979999999999999,6.65,4.25,24.22,17.64,0.3818293864169578,0.4132399290671881,0.2103470372405856,0.0987435495367137,39,50
TE,Tucker Kraft,George Kittle,110.6,121.0,10.059453965152493,10.059453965152493,-2.1500000000000004,-6.75,-0.0052032719026465085,-0.18948140442987793,8.9,5.75,7.9,17.15,23.9,0.07780693143225,0.0830102033348965,0.3566594276820454,0.5461408321119233,34,41
QB,Jaxson Dart,Caleb Williams,104.3,106.4,17.634423450195044,17.634423450195044,8.425,0.4720000000000013,-0.039622643163329,0.038142158252012004,8.897000000000002,18.46,10.035,27.144,26.671999999999997,0.1341704228365614,0.1737930659998904,0.3916005581595937,0.3534583999075817,12,34
WR,Garrett Wilson,Tee Higgins,28.5,39.2,14.55056921854534,14.62262584890312,2.3499999999999996,-6.48,-0.09504595278943911,-0.04281841378962781,8.83,9.1,6.75,22.5,28.98,0.2003934729615141,0.2954394257509532,0.1675286234509578,0.2103470372405856,41,39
WR,Ricky Pearsall,Calvin Ridley,118.3,130.2,10.169649826735762,10.169649826735766,-3.7000000000000006,-5.079999999999998,0.04025097388954302,-0.1068383591091911,8.78,2.9499999999999997,6.65,19.14,24.22,0.4220803603065008,0.3818293864169578,0.1035086781313945,0.2103470372405856,18,39
WR,Nico Collins,DeVonta Smith,23.2,29.1,15.452797920238163,15.318955655428478,4.075,4.25,-0.1164140644387549,0.0872412332242907,8.325,11.9,7.825,27.6,23.35,0.1589870425747288,0.2754011070134837,0.2736595407965669,0.1864183075722762,41,46
RB,Woody Marks,Tyrone Tracy Jr.,144.7,156.1,7.491790151433535,7.491790151433533,-1.3499999999999996,-6.85,0.07194717797914081,-0.079655941723759,8.2,4.75,6.1,15.85,22.7,0.1772110876411983,0.1052639096620575,0.274510890053227,0.354166831776986,16,31
WR,Ricky Pearsall,Matthew Golden,118.3,119.9,10.169649826735762,10.169649826735766,0.22499999999999964,7.960000000000001,-0.1312052960510593,0.013762933684668202,8.185,2.9499999999999997,2.725,19.14,11.18,0.4220803603065008,0.5532856563575601,0.1035086781313945,0.0897457444467263,18,12
RB,AJ Dillon,Brian Robinson Jr.,161.4,164.9,7.481169871794872,7.481169871794872,-1.4249999999999998,-6.759999999999998,0.0706909360137497,-0.12350061384882301,8.184999999999999,1.975,3.4,11.14,17.9,0.3040570480216435,0.2333661120078938,0.0720857113199549,0.1955863251687779,20,45
RB,Kyren Williams,Travis Etienne Jr.,32.2,37.1,13.416324058711414,13.416324058711414,3.0,5.059999999999999,-0.0169292095048465,0.25128008754888553,8.059999999999999,11.5,8.5,27.88,22.82,0.0174515679213266,0.0343807774261731,0.6538921587932139,0.4026120712443284,45,49
WR,Jalen Coker,Calvin Ridley,126.1,130.2,10.169649826735762,10.169649826735766,-1.1000000000000005,-6.739999999999998,0.13826448465795343,-0.10983566110957209,7.839999999999999,5.55,6.65,17.48,24.22,0.5200938710749112,0.3818293864169578,0.1005113761310135,0.2103470372405856,19,39
RB,Isiah Pacheco,Chris Rodriguez Jr.,148.9,160.6,7.491790151433535,7.491790151433536,2.9749999999999996,4.859999999999998,-0.19947800400379478,0.0767482399239415,7.834999999999997,5.725,2.75,19.74,14.88,0.0973584602245659,0.2968364642283607,0.2760115723372355,0.199263332413294,34,24
QB,Drake Maye,Lamar Jackson,49.6,52.8,19.516798543728473,19.516798543728473,0.8350000000000009,-6.875999999999998,-0.025391938016180796,-0.17198280841835145,7.7109999999999985,15.74,14.905,26.284,33.16,0.1024613646037872,0.127853302619968,0.3026015698607917,0.4745843782791431,29,46
RB,Kenny Gainwell,J.K. Dobbins,89.6,91.4,9.4762971493062,9.4762971493062,-6.3500000000000005,-1.2599999999999945,0.22308703562360027,-0.3106858322354402,7.609999999999995,2.8,9.15,18.480000000000004,19.74,0.2527766963346161,0.0296896607110158,0.1626925184393977,0.4733783506748379,49,24
WR,Chris Godwin Jr.,Josh Downs,88.1,92.4,11.063778356464836,11.063778356464836,3.3249999999999993,4.250000000000011,-0.24217352388436567,0.0682618679094733,7.57500000000001,9.1,5.775,23.65000000000001,19.4,0.2208389432558955,0.4630124671402612,0.157173027367108,0.0889111594576347,32,46
TE,Colston Loveland,Tyler Warren,60.8,65.8,11.629775407394895,11.629775407394895,-2.0,5.559999999999999,0.034696774879473105,-0.053536127331553884,7.559999999999999,5.6,7.6,23.619999999999997,18.06,0.1018399493635958,0.0671431744841227,0.3760787760527562,0.4296149033843101,15,17
RB,Tyrone Tracy Jr.,Brian Robinson Jr.,156.1,164.9,7.491790151433533,7.481169871794872,2.6999999999999997,4.800000000000001,-0.1281022023458363,0.15858050660820808,7.5,6.1,3.4,22.7,17.9,0.1052639096620575,0.2333661120078938,0.354166831776986,0.1955863251687779,31,45
RB,Tank Bigsby,Brian Robinson Jr.,155.6,164.9,7.491790151433535,7.481169871794872,-2.0,-5.4999999999999964,0.17910532139579427,-0.07575338270455871,7.4999999999999964,1.4,3.4,12.400000000000002,17.9,0.4124714334036881,0.2333661120078938,0.1198329424642192,0.1955863251687779,35,45
RB,Kenny Gainwell,Rachaad White,89.6,98.0,9.4762971493062,9.4762971493062,-4.4,-3.0999999999999943,0.20019625899940607,-0.22146420258916683,7.499999999999995,2.8,7.2,18.480000000000004,21.58,0.2527766963346161,0.05258043733521,0.1626925184393977,0.3841567210285645,49,49
RB,Blake Corum,Tyjae Spears,121.7,126.9,8.514685960281545,8.371889717425432,-2.6999999999999997,-4.700000000000001,0.2433841989638184,-0.07926078370199009,7.4,2.4,5.1,13.1,17.8,0.3688278737815142,0.1254436748176958,0.1116128532765757,0.1908736369785658,29,41
RB,Jaylen Warren,Rhamondre Stevenson,67.2,72.2,10.925918745824404,10.925918745824406,2.8000000000000007,-4.5199999999999925,-0.0746525572143846,-0.11002695230127979,7.319999999999993,7.9,5.1,17.880000000000006,22.4,0.0720921498536955,0.1467447070680801,0.2973680005427224,0.4073949528440022,48,41
WR,Emeka Egbuka,Tee Higgins,33.7,39.2,14.640219270233928,14.62262584890312,-1.75,-5.440000000000001,0.10285987389958456,-0.011445434015099593,7.190000000000001,5.0,6.75,23.54,28.98,0.3982992996505378,0.2954394257509532,0.198901603225486,0.2103470372405856,17,39
WR,Michael Wilson,Chris Godwin Jr.,87.8,88.1,11.063778356464836,11.063778356464836,-4.0,-3.1500000000000092,0.2510262509729414,-0.03375377532304981,7.150000000000009,5.1,9.1,20.5,23.65000000000001,0.4718651942288369,0.2208389432558955,0.1234192520440582,0.157173027367108,45,32
WR,Rashod Bateman,Malik Washington,148.2,155.7,9.338003994797472,9.338003994797472,-0.17499999999999938,6.91,0.022649691920353265,0.019482002900090098,7.084999999999999,3.9,4.074999999999999,17.32,10.41,0.6194017782484702,0.5967520863281169,0.0819866311198937,0.0625046282198036,39,24
RB,Keaton Mitchell,Brian Robinson Jr.,157.1,164.9,7.491790151433535,7.481169871794872,-0.5249999999999999,-6.549999999999995,0.0706909360137497,-0.08379417031956882,7.074999999999996,2.875,3.4,11.350000000000003,17.9,0.3040570480216435,0.2333661120078938,0.1117921548492091,0.1955863251687779,20,45
