log_src,log_ffc_equiv,position
4.5132741712835545,4.370747566871263,ALL
4.522331907679087,4.370747566871263,ALL
4.529368472571809,4.370747566871263,ALL
4.56320170116559,4.370747566871263,ALL
4.577901758833898,4.370747566871263,ALL
4.5830268213024015,4.370747566871263,ALL
4.585987366571318,4.483653008600976,ALL
4.590259573252337,4.483653008600976,ALL
4.607766811835357,4.483653008600976,ALL
4.622420539394619,4.483653008600976,ALL
4.624678652376135,4.483653008600976,ALL
4.624972813284271,4.483653008600976,ALL
4.631227720307381,4.483653008600976,ALL
4.651099117876491,4.483653008600976,ALL
4.658616161693717,4.483653008600976,ALL
4.662778498608405,4.557014990471123,ALL
4.665041583025482,4.557014990471123,ALL
4.66617120754549,4.557014990471123,ALL
4.674602960703428,4.557014990471123,ALL
4.690521853087595,4.557014990471123,ALL
4.697567035254059,4.557014990471123,ALL
4.707636517532581,4.557014990471123,ALL
4.721974965530176,4.557014990471123,ALL
4.723397567352741,4.60789671533359,ALL
4.745106026285608,4.60789671533359,ALL
4.755054635525384,4.60789671533359,ALL
4.76234486036009,4.60789671533359,ALL
4.76575725063604,4.60789671533359,ALL
4.76779910943631,4.60789671533359,ALL
4.769327772154375,4.60789671533359,ALL
4.814295945534097,4.60789671533359,ALL
4.814539303880461,4.60789671533359,ALL
4.8158362157911885,4.60789671533359,ALL
4.8160791996339585,4.60789671533359,ALL
4.816888719632834,4.60789671533359,ALL
4.826872699505897,4.60789671533359,ALL
4.855228269843183,4.60789671533359,ALL
4.863989713754771,4.60789671533359,ALL
4.864915639746849,4.720282993088596,ALL
4.867149761087499,4.782876055694614,ALL
4.876646654092939,4.782876055694614,ALL
4.892902257189914,4.782876055694614,ALL
4.8959723857761155,4.782876055694614,ALL
4.896570337808283,4.782876055694614,ALL
4.913169459202767,4.782876055694614,ALL
4.914050969580866,4.782876055694614,ALL
4.915884957550445,4.782876055694614,ALL
4.919542873692917,4.782876055694614,ALL
4.920126900574753,4.782876055694614,ALL
4.920637644447809,4.782876055694614,ALL
4.939354092091292,4.782876055694614,ALL
4.945492145764051,4.782876055694614,ALL
4.946416721769604,4.782876055694614,ALL
4.947482479090987,4.782876055694614,ALL
4.956882838097009,4.782876055694614,ALL
4.961655111874538,4.782876055694614,ALL
4.972794961113076,4.782876055694614,ALL
4.994776878161797,4.782876055694614,ALL
5.001863601709132,4.9060604253067375,ALL
5.006024681538572,4.9060604253067375,ALL
5.011168485257914,4.9060604253067375,ALL
5.014095965725237,4.9060604253067375,ALL
5.014892884348897,4.9060604253067375,ALL
5.021179507971927,4.9060604253067375,ALL
5.025195445427586,4.9060604253067375,ALL
5.040064638120259,4.9060604253067375,ALL
5.044585733465803,4.9060604253067375,ALL
5.054269331116317,4.9060604253067375,ALL
5.055799846050629,4.9060604253067375,ALL
5.062595033026967,4.9060604253067375,ALL
5.064112867874402,4.9060604253067375,ALL
5.070789216916003,4.909709375506295,ALL
5.071542228999777,4.949397857031009,ALL
5.075111313280621,4.949397857031009,ALL
5.0775459993788825,4.949397857031009,ALL
5.085062262984157,4.949397857031009,ALL
5.087287645617338,5.046376844907188,ALL
5.094731314449358,5.046376844907188,ALL
5.094792602102979,5.047604886293558,ALL
5.101146096503746,5.047604886293558,ALL
5.112048027505985,5.047604886293558,ALL
5.112168494919695,5.047604886293558,ALL
5.115655751940977,5.047604886293558,ALL
5.115835796952717,5.047604886293558,ALL
5.117933930384341,5.047604886293558,ALL
5.118412886269687,5.047604886293558,ALL
5.118951437579715,5.047604886293558,ALL
5.119190700650601,5.047604886293558,ALL
5.120266676604728,5.047604886293558,ALL
5.120625078137745,5.047604886293558,ALL
5.120744516776286,5.047604886293558,ALL
5.121460849185141,5.047604886293558,ALL
5.121580188047982,5.047604886293558,ALL
5.121878472912238,5.047604886293558,ALL
5.1234281215713775,5.047604886293558,ALL
5.1253915313944445,5.047604886293558,ALL
5.12562925872232,5.047604886293558,ALL
5.125688681724982,5.047604886293558,ALL
5.126995095212451,5.047604886293558,ALL
5.1286553387008365,5.048588788033621,ALL
5.129129188144045,5.048588788033621,ALL
5.129602813160299,5.1047326174753715,ALL
4.436514819957951,4.879006851617819,PK
4.662778498608405,4.936568551011882,PK
4.755054635525384,4.936568551011882,PK
4.876646654092939,4.977243351833897,PK
4.896570337808283,4.977243351833897,PK
4.913169459202767,5.058128861152873,PK
5.001863601709132,5.058128861152873,PK
5.040064638120259,5.058128861152873,PK
5.087287645617338,5.092604285951957,PK
5.094792602102979,5.092604285951957,PK
5.112168494919695,5.092604285951957,PK
5.118412886269687,5.092604285951957,PK
3.1166215908294443,3.2846635654062037,QB
3.670715483486265,3.935251012221549,QB
3.8693242508950307,3.935251012221549,QB
3.9333930311643384,4.212008536769432,QB
3.9830404926634264,4.212008536769432,QB
4.094511215001422,4.212008536769432,QB
4.3267781604434035,4.427491706249355,QB
4.369954053439613,4.427491706249355,QB
4.47688216568656,4.427491706249355,QB
4.5132741712835545,4.5812287337231155,QB
4.529368472571809,4.5812287337231155,QB
4.56320170116559,4.5812287337231155,QB
4.658616161693717,4.5812287337231155,QB
4.690521853087595,4.5812287337231155,QB
4.697567035254059,4.672256404543888,QB
4.939354092091292,4.672256404543888,QB
5.006024681538572,4.852811208902689,QB
5.014095965725237,4.947261243075239,QB
5.044585733465803,4.947261243075239,QB
5.071542228999777,4.99991133073328,QB
5.075111313280621,5.004055523330148,QB
5.094731314449358,5.004055523330148,QB
5.112048027505985,5.070789216916003,QB
