pos,adp,m_old,m_deep,delta
WR,69.75166782178735,11.833267719934383,12.739458663273002,0.9061909433386184
WR,70.47832091631473,11.833267719934383,12.739458663273002,0.9061909433386184
WR,71.21254407670978,11.833267719934383,12.739458663273002,0.9061909433386184
WR,71.95441616577178,11.833267719934383,12.739458663273002,0.9061909433386184
WR,72.70401686787056,11.827632013910392,12.739458663273002,0.9118266493626095
WR,73.46142669750488,10.770504675940291,12.438209229710779,1.6677045537704878
WR,74.22672700795091,9.713377337970101,12.438209229710779,2.7248318917406777
WR,74.99999999999997,8.65625,12.438209229710779,3.781959229710779
RB,1.2,19.40125646412411,19.40125646412411,0.0
RB,1.212761309498839,19.40125646412411,19.40125646412411,0.0
RB,1.2256583281811158,19.40125646412411,19.40125646412411,0.0
RB,1.2386924992359065,19.40125646412411,19.40125646412411,0.0
RB,1.2518652811997732,19.40125646412411,19.40125646412411,0.0
RB,1.2651781481199744,19.40125646412411,19.40125646412411,0.0
RB,1.2786325897194137,19.40125646412411,19.40125646412411,0.0
RB,1.2922301115633401,19.40125646412411,19.40125646412411,0.0
RB,1.3059722352278227,19.40125646412411,19.40125646412411,0.0
RB,1.3198604984700169,19.40125646412411,19.40125646412411,0.0
RB,1.3338964554002402,19.40125646412411,19.40125646412411,0.0
RB,1.3480816766558792,19.40125646412411,19.40125646412411,0.0
RB,1.3624177495771457,19.40125646412411,19.40125646412411,0.0
RB,1.3769062783847004,19.40125646412411,19.40125646412411,0.0
RB,1.3915488843591688,19.40125646412411,19.40125646412411,0.0
RB,1.4063472060225617,19.40125646412411,19.40125646412411,0.0
RB,1.4213028993216297,19.40125646412411,19.40125646412411,0.0
RB,1.4364176378131635,19.40125646412411,19.40125646412411,0.0
RB,1.4516931128512678,19.40125646412411,19.40125646412411,0.0
RB,1.4671310337766246,19.40125646412411,19.40125646412411,0.0
RB,1.4827331281077707,19.40125646412411,19.40125646412411,0.0
RB,1.4985011417344083,19.40125646412411,19.40125646412411,0.0
RB,1.514436839112772,19.40125646412411,19.40125646412411,0.0
RB,1.5305420034630737,19.40125646412411,19.40125646412411,0.0
RB,1.546818436969045,19.40125646412411,19.40125646412411,0.0
RB,1.5632679609796052,19.40125646412411,19.40125646412411,0.0
RB,1.5798924162126717,19.40125646412411,19.40125646412411,0.0
RB,1.5966936629611375,19.40125646412411,19.40125646412411,0.0
RB,1.6136735813010392,19.40125646412411,19.40125646412411,0.0
RB,1.6308340713019414,19.40125646412411,19.40125646412411,0.0
RB,1.6481770532395548,19.40125646412411,19.40125646412411,0.0
RB,1.665704467810617,19.40125646412411,19.40125646412411,0.0
RB,1.6834182763500587,19.40125646412411,19.40125646412411,0.0
RB,1.70132046105048,19.40125646412411,19.40125646412411,0.0
RB,1.7194130251839574,19.40125646412411,19.40125646412411,0.0
RB,1.7376979933262138,19.40125646412411,19.40125646412411,0.0
RB,1.7561774115831699,19.40125646412411,19.40125646412411,0.0
RB,1.7748533478199058,19.40125646412411,19.40125646412411,0.0
RB,1.7937278918920563,19.40125646412411,19.40125646412411,0.0
RB,1.8128031558796684,19.40125646412411,19.40125646412411,0.0
RB,1.832081274323546,19.40125646412411,19.40125646412411,0.0
