pos,stat,kind,n_half,n_yoy,r_half,rho_full,r_yoy,yoy_lo,yoy_hi,admit,gate,window
TE,tprr_proxy,season,0,248,,,0.5555807316105493,0.42723380158999374,0.6410367571021155,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,yprr_proxy,season,0,248,,,0.5901645683378923,0.40723779447599845,0.7004594912514304,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,rz_targets_pg,season,0,248,,,0.38109796224931913,0.21617019313374194,0.5027263759085586,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,i10_targets_pg,season,0,248,,,0.3443593430298658,0.18022657193771852,0.4967184797956569,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,ez_targets_pg,season,0,248,,,0.3978375379684413,0.25828359591401084,0.5141982985008446,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,third_down_targets_pg,season,0,248,,,0.5899571764855881,0.48841051792526563,0.6586148847537807,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,deep_targets_pg,season,0,248,,,0.560312564186248,0.4432034646841941,0.6458131953594314,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,deep_target_rate,season,0,248,,,0.317937213279308,0.21853542317878244,0.41321835773559035,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,rz_target_share_of_own,season,0,248,,,0.10705836980199336,-0.0502849923060962,0.2419831840320069,False,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,ngs_avg_separation,season,0,144,,,0.39986040210200413,0.25279380342785224,0.5122780663737878,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,ngs_avg_cushion,season,0,144,,,0.35359849296625456,0.18740418685940882,0.48571171477696123,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,ngs_avg_yac_above_expectation,season,0,144,,,0.4509148506904769,0.24301043420559817,0.5964293561283484,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,ngs_percent_share_of_intended_air_yards,season,0,144,,,0.6255261130068994,0.49392418355164897,0.7205092687192275,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,pfr_adot,season,0,248,,,0.5596226246891016,0.4350779364413916,0.6465914177039868,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,pfr_ybc_per_rec,season,0,248,,,0.5013142728305299,0.37871193617832954,0.6021431604585,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,pfr_yac_per_rec,season,0,248,,,0.46118653476540244,0.29308015842952884,0.5844602842839414,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,pfr_drop_pct,season,0,248,,,0.17182125561579295,0.02328585148450187,0.290466366797622,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,pfr_rec_per_broken_tackle,season,0,161,,,0.22915381520576872,0.0920189133780841,0.35814804703359077,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
TE,target_epa,season,0,248,,,0.20650846288574726,0.03452611391038695,0.3494374514708198,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,snap_share,season,0,356,,,0.6098068396759591,0.5296490169380159,0.682870410751191,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,pass_snap_share,season,0,356,,,0.4973360403446318,0.4026955668215643,0.5758248104732085,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,run_snap_share,season,0,356,,,0.5430254632938928,0.4501549124522494,0.620015915855669,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,routes_proxy,season,0,356,,,0.5024271356897787,0.40396724950041274,0.5931275983861356,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,tprr_proxy,season,0,356,,,0.4820146550788861,0.3501094934456342,0.5891210934198878,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,gl5_carries_pg,season,0,356,,,0.35678066916244155,0.22934997813980504,0.46247631743042467,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,gl10_carries_pg,season,0,356,,,0.441508399314716,0.32601103206650117,0.5383596975165242,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,third_down_carries_pg,season,0,356,,,0.4696278894357393,0.3293209287087409,0.5856472975822355,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,explosive_run_rate,season,0,356,,,0.2522922125866106,0.14737685626901825,0.34755207941675503,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,stuffed_rate,season,0,356,,,0.06974777924331979,-0.033040723092736486,0.17919622609035432,False,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,short_yd_conv_rate,season,0,346,,,0.09428945939377462,-0.017753107199872702,0.20951391619181878,False,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,rush_epa_per_att,season,0,356,,,0.10081509916096516,0.0021747636148890417,0.19540655065483092,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,ngs_ryoe_per_att,season,0,229,,,0.20058875893852804,0.01729629570118852,0.35404624382061,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,ngs_efficiency,season,0,229,,,0.22684009268601216,0.07338766107135913,0.3727652588190904,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,ngs_percent_attempts_gte_eight_defenders,season,0,229,,,0.3498769478698971,0.18269341547652634,0.4934512176661544,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,pfr_ybc_per_att,season,0,355,,,0.24620979924499597,0.13703341528304078,0.34081252010094226,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,pfr_yac_per_att,season,0,355,,,0.26663600105495755,0.11888537225844598,0.4085461621937558,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,pfr_att_per_broken_tackle,season,0,334,,,0.09515385496382402,0.021610021828816238,0.1801317165965401,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,opportunity_pg,season,0,356,,,0.657348590503033,0.5727682144071796,0.720780292249807,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,rz_targets_pg,season,0,356,,,0.4710197919216534,0.3443349984711532,0.5671159867196244,True,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
RB,target_epa,season,0,356,,,0.004245736136811346,-0.10916225946735189,0.14171104734249518,False,YoY CI excl 0 only (declared exception),2018-2025 (advanced)
