name,team,adp,position,vorp,rk,adp_rk,edge,vorp_new,vorp_rost,vorp_meta,sched,avail,floor_p25,bust_sched,yrs,usable,floor_gap,adj_0.0,adj_0.25,adj_0.5,adj_1.0,final,value_final,view
Marvin Harrison Jr.,ARI,63.9,WR,2.5550881345663523,59,64,5,2.754862238410686,5.577950722912282,6.473924073475545,36.0,0.806,1.0499999999999998,0.5833333333333334,30.0,True,-3.6125,6.473924073475545,5.570799073475545,4.6676740734755455,2.861424073475545,6.112674073475545,12.853924073475545,0.0
Bucky Irving,TB,42.8,RB,2.4940694209378673,60,44,-16,1.3337329349503122,6.558146821060399,5.825856922066072,36.0,0.75,1.65,0.3888888888888889,2.0,True,-4.5,5.825856922066072,4.700856922066072,3.5758569220660723,1.3258569220660723,5.375856922066072,12.035856922066072,0.0
D'Andre Swift,CHI,44.4,RB,2.4940694209378655,61,46,-15,1.3337329349503104,6.558146821060397,5.8258569220660705,54.0,0.907,7.525,0.2777777777777778,6.0,True,1.3750000000000009,5.8258569220660705,6.1696069220660705,6.513356922066071,7.200856922066071,5.963356922066071,12.03585692206607,-1.7763568394002505e-15
Wan'Dale Robinson,TEN,70.9,WR,2.4406227243638092,62,71,9,2.640396828208143,5.4634853127097385,6.359458663273002,54.0,0.889,4.75,0.4444444444444444,4.0,True,0.0875000000000003,6.359458663273002,6.381333663273002,6.403208663273002,6.446958663273002,6.368208663273002,12.739458663273002,0.0
Michael Pittman Jr.,PIT,72.2,WR,2.440622724363807,63,74,11,2.640396828208141,5.463485312709737,6.359458663273,54.0,0.907,4.65,0.3518518518518518,28.0,True,-0.0124999999999992,6.359458663273,6.356333663273,6.3532086632730005,6.346958663273001,6.358208663273,12.739458663273,-1.7763568394002505e-15
Quinshon Judkins,CLE,49.8,RB,2.3183525181662255,64,51,-13,1.1580160321786703,6.382429918288757,5.65014001929443,18.0,,,,1.0,False,0.0,5.65014001929443,5.65014001929443,5.65014001929443,5.65014001929443,5.65014001929443,11.86014001929443,0.4998599807055708
Quentin Johnston,LAC,95.2,WR,2.2130687332160672,65,98,33,2.412842837060401,5.2359313215619965,6.13190467212526,54.0,0.833,1.85,0.5555555555555556,3.0,True,-2.8124999999999996,6.13190467212526,5.42877967212526,4.72565467212526,3.3194046721252604,5.85065467212526,12.51190467212526,1.6880953278747395
Parker Washington,JAX,75.4,WR,2.139373290801588,66,78,12,2.339147394645922,5.162235879147517,6.058209229710779,54.0,0.704,0.0,0.6851851851851852,3.0,True,-4.6625,6.058209229710779,4.8925842297107796,3.726959229710779,1.3957092297107794,5.591959229710779,12.438209229710779,-1.7763568394002505e-15
Jakobi Meyers,JAX,76.1,WR,2.139373290801588,67,79,12,2.339147394645922,5.162235879147517,6.058209229710781,54.0,0.87,7.025,0.3703703703703703,7.0,True,2.3625000000000007,6.058209229710781,6.648834229710781,7.239459229710781,8.42070922971078,6.294459229710781,12.43820922971078,0.0
Carnell Tate,TEN,76.4,WR,2.139373290801588,68,80,12,2.339147394645922,5.162235879147517,6.058209229710781,,,,,,,0.0,6.058209229710781,6.058209229710781,6.058209229710781,6.058209229710781,6.058209229710781,12.43820922971078,0.0
Courtland Sutton,DEN,59.8,WR,1.8875275997351115,69,59,-10,2.0873017035794454,4.910390188081041,5.806363538644303,54.0,0.907,6.0,0.2777777777777778,8.0,True,1.3375000000000004,5.806363538644303,6.140738538644303,6.475113538644303,7.143863538644303,5.940113538644303,12.186363538644303,-0.7863635386443022
TreVeyon Henderson,NE,55.7,RB,1.8184925374606544,70,57,-13,0.6581560514730995,5.882569937583186,5.15028003858886,18.0,,,,1.0,False,0.0,5.15028003858886,5.15028003858886,5.15028003858886,5.15028003858886,5.15028003858886,11.36028003858886,0.0
Bhayshul Tuten,JAX,51.2,RB,1.8184925374606544,71,52,-19,0.6581560514730995,5.882569937583186,5.15028003858886,18.0,,,,1.0,False,0.0,5.15028003858886,5.15028003858886,5.15028003858886,5.15028003858886,5.15028003858886,11.36028003858886,0.0
Alec Pierce,IND,55.5,WR,1.5756175782562227,72,56,-16,1.7753916821005564,4.598480166602152,5.494453517165417,54.0,0.889,2.025,0.6111111111111112,4.0,True,-2.6374999999999997,5.494453517165417,4.835078517165417,4.1757035171654175,2.8569535171654175,5.230703517165417,11.874453517165417,-0.1411133792913546
David Montgomery,HOU,63.6,RB,1.564947495531321,73,63,-10,0.4046110095437658,5.629024895653853,4.896734996659526,54.0,0.833,5.925000000000001,0.3333333333333333,7.0,True,-0.2249999999999987,4.896734996659526,4.8404849966595265,4.784234996659526,4.671734996659527,4.874234996659526,11.106734996659526,0.18081625083511987
Travis Kelce,,99.6,TE,1.5440205476469335,74,102,28,1.118462645321351,2.4652603176243515,2.4833694516895877,54.0,0.889,5.875,0.3518518518518518,13.0,True,-1.1500000000000004,2.4833694516895877,2.1958694516895876,1.9083694516895875,1.333369451689587,2.3683694516895875,10.353369451689588,
Dallas Goedert,,105.3,TE,1.5440205476469335,75,108,33,1.118462645321351,2.4652603176243515,2.4833694516895877,54.0,0.722,0.0,0.5370370370370371,8.0,True,-7.025,2.4833694516895877,0.7271194516895876,-1.0291305483104125,-4.541630548310413,1.7808694516895875,10.353369451689588,
Kyle Pitts,,78.5,TE,1.5440205476469335,76,81,5,1.118462645321351,2.4652603176243515,2.4833694516895877,54.0,0.944,3.725,0.5740740740740741,5.0,True,-3.3000000000000003,2.4833694516895877,1.6583694516895875,0.8333694516895875,-0.8166305483104126,2.1533694516895876,10.353369451689588,
Sam LaPorta,,87.6,TE,1.5440205476469335,77,88,11,1.118462645321351,2.4652603176243515,2.4833694516895877,54.0,0.778,3.75,0.4629629629629629,3.0,True,-3.2750000000000004,2.4833694516895877,1.6646194516895876,0.8458694516895875,-0.7916305483104127,2.1558694516895875,10.353369451689588,
