gsis_id,name,pos,adp,adp_rank,age,expr,n_prior,G_last,avail_wtd,mu_hat,mu_cal,proj_ridge_P0,proj_ridge_P1,alpha
00-0034827,DJ Moore,WR,48.9,25.0,29.38261464750171,8,8,17.0,0.9985294117647059,12.267876393694733,12.16319937155771,12.758863066743368,12.58732232542986,177.82794100389228
00-0039919,Rome Odunze,WR,51.9,26.0,24.246406570841888,2,2,12.0,0.8039215686274511,10.957843137254903,11.289598949646315,12.80889893706478,12.43046459335515,177.82794100389228
00-0031408,Mike Evans,WR,53.7,27.0,33.02943189596167,12,12,8.0,0.6802745457157221,13.633220142757956,13.073683795805985,10.29101435107027,10.21469596793689,177.82794100389228
00-0040735,Luther Burden III,WR,58.5,28.0,22.72142368240931,1,1,15.0,0.8823529411764706,8.526666666666667,9.668360114672906,10.74164083394794,10.564615017408233,177.82794100389228
00-0038124,Christian Watson,WR,58.8,29.0,27.307323750855577,4,4,10.0,0.6588235294117647,11.349216931216931,11.550587981680096,10.191474294501752,10.308004055222554,177.82794100389228
00-0034348,Courtland Sutton,WR,60.2,30.0,30.89390828199863,8,8,17.0,0.955767012687428,12.985336697424065,12.641640373693756,12.446023308257166,12.284256519038891,177.82794100389228
00-0037664,Alec Pierce,WR,64.5,31.0,26.33264887063655,4,4,15.0,0.9176470588235295,10.423485294117647,10.933260486541194,11.228170451153007,11.035627529052062,177.82794100389228
00-0038606,Parker Washington,WR,64.6,32.0,24.449007529089666,3,3,16.0,0.8403361344537815,9.276020408163264,10.16806937129999,10.751958748275875,10.654617992261358,177.82794100389228
00-0035640,DK Metcalf,WR,64.8,33.0,28.71457905544148,7,7,15.0,0.9036591014358499,12.927805890072564,12.603275746438598,12.849953315937647,12.726058427704256,177.82794100389228
00-0039849,Marvin Harrison Jr.,WR,65.9,34.0,24.057494866529773,2,2,12.0,0.8039215686274511,10.952941176470588,11.286330059342717,11.895698540327583,11.715820258739107,177.82794100389228
00-0039893,Brian Thomas Jr.,WR,72.2,35.0,23.89869952087611,2,2,14.0,0.8823529411764706,12.178151260504203,12.103365841511058,13.573500449657706,13.323935666155572,177.82794100389228
00-0036252,Michael Pittman Jr.,WR,74.8,36.0,28.906228610540726,6,6,17.0,0.9708800186741363,12.106214537096891,12.055394576956802,13.035689974433842,12.82699267654724,177.82794100389228
00-0038559,Michael Wilson,WR,76.0,37.0,26.521560574948666,3,3,17.0,0.9495798319327731,10.896582094376212,11.248746801319184,11.967454785079452,11.846704530990792,177.82794100389228
00-0033921,Chris Godwin Jr.,WR,80.2,38.0,30.510609171800137,9,9,9.0,0.598991308852308,13.025651155439345,12.668524216037566,10.515102299424179,10.61539934100849,177.82794100389228
00-0038997,Josh Downs,WR,84.8,39.0,25.05407255304586,3,3,16.0,0.9159663865546219,10.007923169267709,10.656141378446264,12.29647984740112,12.021852300395398,177.82794100389228
00-0038117,Wan'Dale Robinson,WR,85.9,40.0,25.65366187542779,4,4,16.0,0.9098039215686274,11.886549019607843,11.90890983100514,14.31732401818796,13.959794617474227,177.82794100389228
00-0034960,Jakobi Meyers,WR,88.2,41.0,29.809719370294317,7,7,16.0,0.9139358499305233,12.338375600777177,12.210212023144138,12.050611269961848,11.904401597967473,177.82794100389228
00-0031588,Stefon Diggs,WR,91.4,42.0,32.75564681724846,11,11,17.0,0.8626523032271043,14.326596684444326,13.536064453993877,12.154015071550731,12.17973521276383,177.82794100389228
00-0039146,Jayden Reed,WR,94.3,43.0,26.34360027378508,3,3,5.0,0.5882352941176471,10.793067226890756,11.17971753701245,10.236984670140298,10.286220674059106,177.82794100389228
00-0038544,Quentin Johnston,WR,95.4,44.0,24.985626283367555,3,3,13.0,0.8319327731092436,11.642809739280327,11.746371409111056,11.40868508995977,11.554508125478625,177.82794100389228
00-0039901,Keon Coleman,WR,96.2,45.0,23.293634496919918,2,2,12.0,0.7254901960784315,8.547863247863248,9.682495131616472,10.719706922248893,10.456128512048432,177.82794100389228
00-0038994,Jordan Addison,WR,97.5,46.0,24.594113620807665,3,3,14.0,0.8655462184873949,11.42156862745098,11.598835972366867,11.629801661433605,11.739045840956292,177.82794100389228
00-0037261,Khalil Shakir,WR,100.9,47.0,26.576317590691307,4,4,16.0,0.9019607843137255,9.960944444444445,10.624813445644012,12.738054598159897,12.288437434912446,177.82794100389228
00-0040667,Matthew Golden,WR,106.0,48.0,23.085557837097877,1,1,14.0,0.8235294117647058,5.0,7.316589674650987,8.99264301760886,8.580484459054391,177.82794100389228
00-0039894,Xavier Worthy,WR,106.3,49.0,23.34839151266256,2,2,14.0,0.8627450980392156,9.133333333333333,10.07291797864643,11.674012065527702,11.34900859853945,177.82794100389228
00-0035719,Deebo Samuel Sr.,WR,110.8,50.0,30.628336755646817,7,7,16.0,0.8998668364983788,12.352188284156787,12.219423061084465,12.706796565874674,12.51845588575082,177.82794100389228
00-0037816,Romeo Doubs,WR,114.0,51.0,26.38466803559206,4,4,16.0,0.8901960784313725,10.111945701357467,10.725509180733106,11.230709682670177,11.202733927255352,177.82794100389228
00-0039491,Jalen Coker,WR,121.3,52.0,24.83778234086242,2,2,11.0,0.6470588235294118,8.283636363636363,9.506294476857338,8.883752456402494,8.949114827344594,177.82794100389228
00-0036407,Jerry Jeudy,WR,125.6,53.0,27.356605065023956,6,6,17.0,0.9719887955182073,9.621154684095861,10.398223413259345,11.875768661970858,11.519176151489317,177.82794100389228
00-0037545,Rashid Shaheed,WR,128.9,54.0,28.00273785078713,4,4,18.0,0.823529411764706,10.234777777777776,10.80742019578371,9.66526738970639,9.823882097590898,177.82794100389228
00-0040130,Jayden Higgins,WR,129.4,55.0,23.71252566735113,1,1,17.0,1.0,7.617647058823529,9.062177096773338,9.175751627664555,9.27461629685995,177.82794100389228
00-0030279,Keenan Allen,WR,131.3,56.0,34.34633812457221,13,13,17.0,0.9101968983173785,13.18814961428727,12.77688690187906,11.348440213858703,11.167324658464384,177.82794100389228
00-0038563,Tre Tucker,WR,132.3,57.0,25.4839151266256,3,3,17.0,0.9663865546218487,8.397414350355527,9.582167739397413,10.623268368981606,10.47679306844763,177.82794100389228
00-0039855,Jalen McMillan,WR,136.1,58.0,24.733744010951405,2,2,4.0,0.411764705882353,8.455128205128204,9.620654432488369,8.546912122882086,8.463074175535406,177.82794100389228
00-0034837,Calvin Ridley,WR,143.7,59.0,31.698836413415467,8,7,7.0,0.6587189269013045,9.538309613513897,10.342977877882351,9.248733174886901,8.787122835895124,177.82794100389228
00-0039880,Malik Washington,WR,148.5,60.0,25.864476386036962,2,2,17.0,0.9411764705882352,5.928851540616247,7.935997688750262,9.148503413557233,8.95005949848149,177.82794100389228
00-0036259,Jauan Jennings,WR,148.9,61.0,29.144421629021217,6,5,15.0,0.8671726755218216,10.63271712158809,11.072787488513807,10.951535319248334,10.855884395650879,177.82794100389228
