rank_model,name,team,adp,adp_rank,tier,n_seasons,n_games,mu_hat,n_eff,m_deep,tau2,B,theta_star,post_SD,arm,board_value,delta_rank_vs_adp,thin_data_flag,team_2025,g_2025,ppg_2025,targets,tgt_share_2025,ay_share_2025,snap_share_2025,rz_tgt_share_2025,i10_tgt_share_2025,rec_tds,team_vacated_share_2026
38,Alec Pierce,IND,55.5,28,vet,4,61,10.748392857142857,2.6470588235294117,12.853924073475545,10.782394134943546,0.6018310388772187,12.015566896456772,2.5473867911679027,theta_star,12.015566896456772,-10,,IND,15.0,12.22,84.0,0.1584905660377358,0.3636986301369863,0.8603174603174604,0.10714285714285714,0.1111111111111111,6.0,0.2886792452830188
39,Brian Thomas Jr.,JAX,83.0,39,vet,2,31,12.178151260504203,1.8,11.063778356464836,10.782394134943546,0.6897097655400394,11.409557386135038,2.7270354839591304,m_deep (market),11.063778356464836,0,,JAX,14.0,9.914285714285716,91.0,0.1663619744058501,0.2694672131147541,0.7759162303664922,0.08139534883720931,0.1388888888888889,2.0,0.3235831809872029
40,Jordyn Tyson,NO,85.6,40,rookie,0,0,,0.0,11.063778356464836,11.422710913543565,1.0,11.063778356464836,3.3797501259033287,m_deep (market),11.063778356464836,0,no NFL rows: full shrinkage to market,,,,,,,,,,,0.2761061946902655
41,Michael Wilson,ARI,87.8,41,vet,3,45,11.0447963800905,2.3333333333333335,11.063778356464836,10.782394134943546,0.6316382999991158,11.05678612337821,2.6097074742806288,m_deep (market),11.063778356464836,0,,ARI,17.0,12.976470588235294,126.0,0.2042139384116693,0.3223175965665236,0.813215859030837,0.15841584158415842,0.11764705882352941,7.0,0.2593192868719611
42,Chris Godwin Jr.,TB,88.1,42,vet,9,115,13.492600492251695,2.9883040935672516,11.063778356464836,10.782394134943546,0.5724473704445884,12.102227647342898,2.484422099733776,m_deep (market),11.063778356464836,0,,TB,9.0,9.22222222222222,51.0,0.0942698706099815,0.0801509769094138,0.7074380165289256,0.09859154929577464,0.21739130434782608,2.0,0.3049907578558225
43,Stefon Diggs,WAS,88.1,43,vet,11,161,14.326596684444326,2.9970717423133237,11.063778356464836,10.782394134943546,0.5717301724824253,12.461144999009793,2.4828652920657546,m_deep (market),11.063778356464836,0,,NE,17.0,12.370588235294118,102.0,0.2116182572614107,0.1888551604509974,0.5365630712979891,0.18461538461538463,0.21212121212121213,4.0,0.5231481481481481
44,Josh Downs,IND,92.4,44,vet,3,46,10.072576530612244,2.3333333333333335,11.063778356464836,10.782394134943546,0.6316382999991158,10.698657566849795,2.6097074742806288,m_deep (market),11.063778356464836,0,,IND,16.0,8.65,88.0,0.1660377358490566,0.1504566210045662,0.5869565217391305,0.17857142857142858,0.1388888888888889,4.0,0.2886792452830188
45,Jayden Reed,GB,92.5,45,vet,3,37,11.0,2.3333333333333335,11.063778356464836,10.782394134943546,0.6316382999991158,11.040284852654185,2.6097074742806288,m_deep (market),11.063778356464836,0,,GB,5.0,9.7,22.0,0.0478260869565217,0.0417931356525799,0.4172839506172839,0.05970149253731343,0.0,1.0,0.4021739130434782
46,Jordan Addison,MIN,102.8,49,vet,3,43,11.861607142857142,2.3333333333333335,10.82380934425052,10.782394134943546,0.6316382999991158,11.20609430560243,2.6097074742806288,m_deep (market),10.82380934425052,3,,MIN,14.0,9.65,79.0,0.1688034188034188,0.2882619110992813,0.8520286396181385,0.17333333333333334,0.17857142857142858,3.0,0.1794871794871795
47,Xavier Worthy,KC,104.4,50,vet,2,29,9.535897435897436,1.8,10.82380934425052,10.782394134943546,0.6897097655400394,10.424182856243867,2.7270354839591304,m_deep (market),10.82380934425052,3,,KC,14.0,7.85,73.0,0.1329690346083788,0.2082506066622546,0.7033805888767721,0.07692307692307693,0.045454545454545456,1.0,0.3169398907103825
