fold,age,f_hat,lo_clamp,hi_clamp
2017,29.4,2.2925,21.0705,35.7892
2017,29.5,2.2686,21.0705,35.7892
2017,29.6,2.2439,21.0705,35.7892
2017,29.7,2.2182,21.0705,35.7892
2017,29.8,2.1917,21.0705,35.7892
2017,29.9,2.1642,21.0705,35.7892
2017,30.0,2.1358,21.0705,35.7892
2017,30.1,2.1066,21.0705,35.7892
2017,30.2,2.0765,21.0705,35.7892
2017,30.3,2.0455,21.0705,35.7892
2017,30.4,2.0137,21.0705,35.7892
2017,30.5,1.9811,21.0705,35.7892
2017,30.6,1.9476,21.0705,35.7892
2017,30.7,1.9134,21.0705,35.7892
2017,30.8,1.8783,21.0705,35.7892
2017,30.9,1.8425,21.0705,35.7892
2017,31.0,1.8059,21.0705,35.7892
2017,31.1,1.7685,21.0705,35.7892
2017,31.2,1.7305,21.0705,35.7892
2017,31.3,1.6916,21.0705,35.7892
2017,31.4,1.6521,21.0705,35.7892
2017,31.5,1.6118,21.0705,35.7892
2017,31.6,1.5709,21.0705,35.7892
2017,31.7,1.5292,21.0705,35.7892
2017,31.8,1.4869,21.0705,35.7892
2017,31.9,1.4439,21.0705,35.7892
2017,32.0,1.4003,21.0705,35.7892
2017,32.1,1.3561,21.0705,35.7892
2017,32.2,1.3112,21.0705,35.7892
2017,32.3,1.2657,21.0705,35.7892
2017,32.4,1.2196,21.0705,35.7892
2017,32.5,1.1729,21.0705,35.7892
2017,32.6,1.1257,21.0705,35.7892
2017,32.7,1.0778,21.0705,35.7892
2017,32.8,1.0295,21.0705,35.7892
2017,32.9,0.9805,21.0705,35.7892
2017,33.0,0.9311,21.0705,35.7892
2017,33.1,0.8811,21.0705,35.7892
2017,33.2,0.8307,21.0705,35.7892
2017,33.3,0.7797,21.0705,35.7892
2017,33.4,0.7283,21.0705,35.7892
2017,33.5,0.6763,21.0705,35.7892
2017,33.6,0.624,21.0705,35.7892
2017,33.7,0.5712,21.0705,35.7892
2017,33.8,0.5179,21.0705,35.7892
2017,33.9,0.4642,21.0705,35.7892
2017,34.0,0.4102,21.0705,35.7892
2017,34.1,0.3557,21.0705,35.7892
2017,34.2,0.3008,21.0705,35.7892
2017,34.3,0.2456,21.0705,35.7892
2017,34.4,0.19,21.0705,35.7892
2017,34.5,0.1341,21.0705,35.7892
2017,34.6,0.0778,21.0705,35.7892
2017,34.7,0.0212,21.0705,35.7892
2017,34.8,-0.0357,21.0705,35.7892
2017,34.9,-0.0929,21.0705,35.7892
2017,35.0,-0.1504,21.0705,35.7892
2017,35.1,-0.2082,21.0705,35.7892
2017,35.2,-0.2662,21.0705,35.7892
2017,35.3,-0.3245,21.0705,35.7892
2017,35.4,-0.3831,21.0705,35.7892
2017,35.5,-0.4418,21.0705,35.7892
2017,35.6,-0.5008,21.0705,35.7892
2017,35.7,-0.56,21.0705,35.7892
2017,35.8,-0.613,21.0705,35.7892
2017,35.9,-0.613,21.0705,35.7892
2017,36.0,-0.613,21.0705,35.7892
2018,21.0,-2.2451,21.0705,35.3073
2018,21.1,-2.1979,21.0705,35.3073
2018,21.2,-2.0382,21.0705,35.3073
2018,21.3,-1.879,21.0705,35.3073
2018,21.4,-1.7204,21.0705,35.3073
2018,21.5,-1.5626,21.0705,35.3073
2018,21.6,-1.4058,21.0705,35.3073
2018,21.7,-1.25,21.0705,35.3073
2018,21.8,-1.0954,21.0705,35.3073
2018,21.9,-0.942,21.0705,35.3073
2018,22.0,-0.7901,21.0705,35.3073
2018,22.1,-0.6398,21.0705,35.3073
2018,22.2,-0.4911,21.0705,35.3073
2018,22.3,-0.3442,21.0705,35.3073
2018,22.4,-0.1993,21.0705,35.3073
2018,22.5,-0.0564,21.0705,35.3073
2018,22.6,0.0843,21.0705,35.3073
2018,22.7,0.2227,21.0705,35.3073
2018,22.8,0.3586,21.0705,35.3073
2018,22.9,0.492,21.0705,35.3073
2018,23.0,0.6227,21.0705,35.3073
2018,23.1,0.7506,21.0705,35.3073
2018,23.2,0.8755,21.0705,35.3073
2018,23.3,0.9974,21.0705,35.3073
2018,23.4,1.116,21.0705,35.3073
2018,23.5,1.2314,21.0705,35.3073
2018,23.6,1.3433,21.0705,35.3073
