year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols,m_hat,tau2,sig2,mu_hat,n_eff,share,th_inc,th_lam50,th_lam25,th_lam00
2017,Doug Baldwin,00-0028434,22.4,11,2011,6,16,13.95625,vet,True,15.232434016321577,15.309814510824571,-1.3535645108245724,-1.276184016321576,15.908982045639089,11.263559536617558,43.459600014646625,15.352678571428571,2.3333333333333335,1.0,15.699341849077365,15.699341849077365,15.699341849077365,15.699341849077365
2017,Keenan Allen,00-0030279,25.8,12,2013,4,16,17.3875,vet,True,14.914158343434847,15.179405480140774,2.208094519859225,2.4733416565651503,15.908982045639089,11.263559536617558,43.459600014646625,14.67704081632653,2.3333333333333335,1.0,15.444731122467893,15.444731122467893,15.444731122467893,15.444731122467893
2017,T.Y. Hilton,00-0029608,28.8,13,2012,5,16,10.975,vet,True,14.666407061708789,14.888359769943484,-3.913359769943483,-3.691407061708789,15.456364332823105,11.263559536617558,43.459600014646625,16.01547619047619,2.3333333333333335,0.7927927927927928,15.667062854713024,15.652907256161686,15.645389169509826,15.637552696760444
2017,Terrelle Pryor,00-0028825,30.2,14,2011,6,7,7.142857142857143,vet,True,14.55949979138951,14.888359769943484,-7.745502627086339,-7.416642648532366,15.027853669593409,11.263559536617558,43.459600014646625,9.743333333333334,1.8,0.0,13.346796386150551,14.02834894373071,14.47590391158509,15.027853669593409
2017,DeAndre Hopkins,00-0030564,31.7,15,2013,4,15,20.653333333333332,vet,True,14.450321743052438,14.888359769943484,5.76497356338985,6.203011590280894,15.027853669593409,11.263559536617558,43.459600014646625,15.025,2.3333333333333335,0.5357142857142857,15.026778278404574,15.026948759555669,15.027046875134236,15.02715539429866
2017,Demaryius Thomas,00-0027874,34.5,16,2010,7,16,12.86875,vet,True,14.259683991521,14.183591681330652,-1.3148416813306518,-1.3909339915210008,14.240482530931166,11.263559536617558,43.459600014646625,15.900892857142859,2.3333333333333335,0.4642857142857143,14.866199901569786,14.750031198831596,14.681583048107946,14.604478040638428
2017,Kelvin Benjamin,00-0031359,38.6,17,2014,3,13,9.930769230769233,vet,True,14.006770387136331,14.133351985789943,-4.202582755020714,-4.076001156367102,14.16300436172871,11.263559536617558,43.459600014646625,13.334500000000002,1.4705882352941178,0.0,13.934371272042455,14.030389727621252,14.090928640919572,14.16300436172871
2017,Alshon Jeffery,00-0029137,39.1,18,2012,5,16,12.24375,vet,True,13.97778329397397,14.133351985789943,-1.8896019857899449,-1.7340332939739689,14.16300436172871,11.263559536617558,43.459600014646625,14.33095238095238,2.3333333333333335,0.0,14.226294737206176,14.201996556834125,14.185060869517315,14.16300436172871
2017,Martavis Bryant,00-0031373,40.9,19,2014,3,15,8.833333333333334,vet,True,13.876414213395922,14.133351985789943,-5.300018652456611,-5.043080880062588,14.16300436172871,11.263559536617558,43.459600014646625,14.65181818181818,1.8,0.875,14.318500789071532,14.311739391018337,14.308254770911187,14.3046980011452
2017,Michael Crabtree,00-0026986,43.7,20,2009,8,13,13.215384615384616,vet,True,13.727273572160689,13.68010859492245,-0.4647239795378333,-0.5118889567760725,13.858363891020208,11.263559536617558,43.459600014646625,14.20547619047619,2.3333333333333335,0.8108108108108109,13.989171434133638,13.981175681202082,13.976951956903513,13.972566108763008
