year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols,mu_hat,n_eff,sig2,th_iso,m_cir,th_cir,th_ols,m_half,th_half
2018,Amari Cooper,00-0031544,31.4,13,2015,3,13,16.423076923076923,vet,True,14.441652442072638,14.522558036770484,1.5347171531334407,1.9513388597082049,13.213988095238095,2.3333333333333335,43.25989353664156,14.02977724341568,14.495270937908279,13.992291530975482,13.959627753940733,14.508914487339382,14.01168986630739
2018,Adam Thielen,00-0030035,33.5,14,2013,5,16,19.20625,vet,True,14.31285358549085,14.356174161998126,4.317890230056518,4.880318113439568,13.196031746031744,2.6470588235294117,43.25989353664156,13.884432654616202,14.463166338747476,13.927151664143377,13.84033592902703,14.409670250372802,13.906955314558758
2018,Larry Fitzgerald,00-0022921,34.9,15,2004,14,16,11.605,vet,True,14.231398470181897,14.356174161998126,-2.578591681330652,-2.62872098298665,15.83645238095238,2.6470588235294117,43.25989353664156,14.958090503253896,14.442862712644006,15.03236955499846,14.910482891366456,14.399518437321067,14.994727103375908
2018,Doug Baldwin,00-0028434,37.6,16,2011,7,11,12.79090909090909,vet,True,14.083142419559728,14.356174161998126,-1.3424428948808558,-1.2749792846802492,14.607916666666666,2.6470588235294117,43.25989353664156,14.458538653624368,14.405908183662095,14.491360440989311,14.30516986266169,14.38104117283011,14.475017837968753
2018,Jarvis Landry,00-0031382,39.4,17,2014,4,16,13.57,vet,True,13.990107351649678,14.356174161998126,-0.5633519857899447,-0.3905684378113978,15.691444444444445,2.6470588235294117,43.25989353664156,14.89912682637323,14.382718120936238,14.936326647192015,14.709928354014478,14.369446141467183,14.917046015441457
2018,JuJu Smith-Schuster,00-0033857,41.2,18,2017,1,16,18.55625,soph,True,13.901229110779116,14.356174161998126,4.422898014210054,4.696295782273339,15.207692307692307,1.0,39.51468355947813,14.50333453128561,14.360564195249367,14.502998854126638,14.123477785553774,14.358369178623747,14.502818581137676
2018,Chris Hogan,00-0028237,42.1,19,2011,7,13,7.9,vet,True,13.85823587039632,14.356174161998126,-5.780108594922449,-5.911283909812594,10.498396344396346,2.6470588235294117,43.25989353664156,12.78750992063075,14.327760172953177,12.707888678398316,12.436716839492597,14.341967167475651,12.749878211242233
2018,Josh Gordon,00-0029664,44.1,20,2012,6,12,11.558333333333332,vet,True,13.765896597626071,14.356174161998126,-2.121775261589118,-2.148418310516652,11.428888888888888,1.2461538461538462,43.25989353664156,13.642161845934194,14.224386841048451,13.507108677470246,13.166116671417088,14.290280501523288,13.575638744860395
2018,Golden Tate,00-0027891,46.7,21,2010,8,15,12.193333333333332,vet,True,13.65192621420012,14.356174161998126,-1.4867752615891163,-1.3843986412608125,14.026250000000001,2.6470588235294117,43.25989353664156,14.222019148475006,14.096797594135998,14.066955029713647,13.810299368964436,14.226485878067063,14.143543909573072
2018,Demaryius Thomas,00-0027874,47.0,22,2010,8,14,11.19285714285714,vet,True,13.639186229131981,14.356174161998126,-2.4872514520653084,-2.370452587901319,14.283750000000001,2.6470588235294117,43.25989353664156,14.326724774680098,14.082535247624058,14.167651746408282,13.911895583203663,14.219354704811092,14.246028608590368
