pos,arm,n,rmse_mu,rmse_arm,d_rmse,label,mean_gain,dm_t,dm_p,mde80,folds_improved,n_folds,obs_over_mde,spearman,spearman_mu,gain_vs_mucal,p_vs_mucal,rmse_theta_mu,rmse_theta_arm,eq7_gain,eq7_p,eq7_mde,bh_reject_12,bh_reject_6
RB,gbt_P1,489,4.490909578515818,4.290998474644151,-0.199911103871667,tier A | gated | clean env | PPG,1.6764522396350714,1.5280359820710778,0.16085312739973803,3.4510854999617635,6,10,0.48577534217962604,0.42589606798327856,0.49473399193971657,-1.0848590225651418,0.36880099417400425,3.7842142879145224,3.75378547421048,0.20373062417053242,0.547359461197311,1.025019517841367,False,False
RB,hier_P0,489,4.490909578515818,4.148594160940028,-0.3423154175757901,tier A | gated | clean env | PPG,2.927523131096737,4.2204507947537335,0.0022379581949121246,2.18192394642013,10,10,1.3417163947899775,0.4967723549587314,0.49473399193971657,0.16621186889652367,0.812038989055521,3.7842142879145224,3.721452853185543,0.4651225951313876,0.02248055259477029,0.5320456753714852,True,True
RB,hier_P1,489,4.490909578515818,4.0557732937995015,-0.43513628471631627,tier A | gated | clean env | PPG,3.6781800883042606,6.048074744529897,0.0001909343399315056,1.9129955247519883,10,10,1.9227332425574393,0.518732959980251,0.49473399193971657,0.916868826104048,0.18209866995662918,3.7842142879145224,3.7069171925539353,0.5714633322945009,0.004045759816921354,0.4696978607376476,True,True
WR,mu_cal (control),346,3.7351369001611574,3.598977366796589,-0.1361595333645682,tier B | gated | clean env | PPG,1.043568797046155,1.3597532695821264,0.2320109234729558,2.6785640247921467,5,6,0.3896000944487913,0.5363097001453937,0.5363097001453937,,,,,,,,False,
WR,ridge_P0,346,3.7351369001611574,3.4818255496360213,-0.2533113505251361,tier B | gated | clean env | PPG,1.8760393553434362,1.6917358570641219,0.15148210701342432,3.8703518537652806,5,6,0.4847206213353257,0.5647524932942976,0.5363097001453937,0.8324705582972814,0.18560579515002654,3.3329811608556037,3.320043355019222,0.08493821585169681,0.7948583866472281,1.0809088573624053,False,
WR,ridge_P1,346,3.7351369001611574,3.469161947892666,-0.26597495226849155,tier B | gated | clean env | PPG,1.9647310228563726,1.8353746977429313,0.12589428090447735,3.7361079890680258,5,6,0.525876400951268,0.5735174839333212,0.5363097001453937,0.9211622258102179,0.13243717439204705,3.3329811608556037,3.3180111871522557,0.09940593670626609,0.7519022939121728,1.0386066742595774,False,
WR,gbt_P0,346,3.7351369001611574,3.687288759583317,-0.04784814057784059,tier B | gated | clean env | PPG,0.4017711376503454,0.387558378444452,0.7142919125126947,3.6181174688053916,3,6,0.11104424914733345,0.516501065227124,0.5363097001453937,-0.6417976593958096,0.48712528208385847,3.3329811608556037,3.3468479257444455,-0.09252900073550581,0.7557707196470168,0.9827551272641671,False,
WR,gbt_P1,346,3.7351369001611574,3.640572796952222,-0.09456410320893527,tier B | gated | clean env | PPG,0.7704867584075425,0.8406515908517475,0.4388827526434463,3.1988229148347282,4,6,0.24086571183242597,0.5533675000402608,0.5363097001453937,-0.2730820386386122,0.6762386181177287,3.3329811608556037,3.3419347019761294,-0.05310079540044773,0.8112601550088352,0.7361835079905013,False,
WR,hier_P0,346,3.7351369001611574,3.4791582087541144,-0.255978691407043,tier B | gated | clean env | PPG,1.8959492646346074,1.9016183486828644,0.11562293907475893,3.479720891144852,5,6,0.5448567065994845,0.5629743570482368,0.5363097001453937,0.8523804675884525,0.10923451148519617,3.3329811608556037,3.3175611332842707,0.10255410108386781,0.7210818571408575,0.9473825532276927,False,
WR,hier_P1,346,3.7351369001611574,3.4746407657345513,-0.26049613442660613,tier B | gated | clean env | PPG,1.9284650072516392,2.0478522875696297,0.09590476526133644,3.2866555668967474,5,6,0.5867560406010208,0.5752668293499735,0.5363097001453937,0.8848962102054841,0.07859939276937829,3.3329811608556037,3.3176571406228756,0.1030959876812907,0.7041366453376074,0.8945677549374568,False,
RB,mu_cal (control),295,4.288423188784931,3.944419228092508,-0.3440039606924228,tier B | gated | clean env | PPG,2.8433281820093974,5.699580780349519,0.0023203488048744916,1.7411056891371985,6,6,1.6330589232744412,0.5985041479593952,0.5985041479593952,,,,,,,,False,
RB,ridge_P0,295,4.288423188784931,3.956103372272597,-0.3323198165123338,tier B | gated | clean env | PPG,2.690015024648772,5.938574240552937,0.001933047936656838,1.5809333965209122,6,6,1.7015359600654683,0.6193104458132795,0.5985041479593952,-0.15331315736062465,0.8015407876539521,3.5876691554209263,3.551571413743639,0.25012500839808144,0.08528842532931283,0.40787776335739584,False,
RB,ridge_P1,295,4.288423188784931,3.927002973952189,-0.36142021483274167,tier B | gated | clean env | PPG,2.917469463360772,6.1552995139572335,0.00164615039093357,1.6542387392381213,6,6,1.763632657221198,0.6227096546863988,0.5985041479593952,0.07414128135137504,0.9012828940083764,3.5876691554209263,3.545737936004817,0.2910780930650029,0.0629789520577518,0.42642177694615957,False,
RB,gbt_P0,295,4.288423188784931,4.085945879187932,-0.20247730959699872,tier B | gated | clean env | PPG,1.6756207865195634,1.4247161842338083,0.21354978922781193,4.104766334682741,4,6,0.40821344015653277,0.5354152913220727,0.5985041479593952,-1.1677073954898338,0.29961552023455473,3.5876691554209263,3.5452549569351066,0.29322560574102047,0.4818119112995608,1.3474765484504887,False,
