team,season,lead,lead_name,n_pres,n_abs,inj_frac,bk_ante,bk_post,same_backup,bk_ante_name,bk_post_name,car_den,car_ante,car_post,car_rest,car_leak,tgt_den,tgt_ante,tgt_post,tgt_rest,tgt_leak,gl10_den,gl10_ante,gl10_post,gl10_rest,gl10_leak,ppg_bk_in,ppg_bk_out,g_bk_out,ppg_lead_in
LV,2023,00-0035700,Josh Jacobs,13,4,1.0,00-0038040,00-0038040,1,Zamir White,Zamir White,17.923076923076923,1.0944206008583692,1.0944206008583692,0.15557939914163088,0.24999999999999994,4.153846153846154,0.6712962962962962,0.6712962962962962,-0.07407407407407401,-0.4027777777777778,1.6923076923076923,0.6477272727272728,0.6477272727272728,0.29545454545454547,-0.05681818181818188,1.8142857142857145,15.175,4,13.930769230769231
MIA,2018,00-0023500,Frank Gore,14,2,0.0,00-0033118,00-0033118,1,Kenyan Drake,Kenyan Drake,11.142857142857142,0.1025641025641026,0.1025641025641026,0.7756410256410257,-0.12179487179487153,1.1428571428571428,0.4375,0.4375,2.25,1.6875000000000002,0.35714285714285715,-0.7999999999999999,-0.7999999999999999,-0.19999999999999998,-1.9999999999999998,13.021428571428572,11.95,2,7.328571428571428
MIA,2020,00-0035311,Myles Gaskin,10,6,0.0,00-0033308,00-0036020,0,Matt Breida,Salvon Ahmed,14.2,-0.00234741784037561,0.6549295774647889,1.063380281690141,0.06103286384976554,4.7,-0.09929078014184398,0.2695035460992908,0.9716312056737588,-0.1276595744680852,2.1,-0.047619047619047616,0.7142857142857143,0.6507936507936509,-0.3968253968253967,3.9571428571428577,4.766666666666667,3,16.419999999999998
MIA,2023,00-0031687,Raheem Mostert,15,2,0.0,00-0039040,00-0039040,1,De'Von Achane,De'Von Achane,13.933333333333334,0.48325358851674644,0.48325358851674644,0.2488038277511961,-0.2679425837320575,2.1333333333333333,0.4374999999999999,0.4374999999999999,-0.15625000000000008,-0.71875,2.2,-0.07575757575757573,-0.07575757575757573,0.04545454545454544,-1.0303030303030303,17.099999999999998,18.4,2,17.84666666666667
MIN,2019,00-0033893,Dalvin Cook,14,2,1.0,00-0034972,00-0034208,0,Alexander Mattison,Mike Boone,17.857142857142858,-0.4,0.7,0.9319999999999999,-0.468,4.5,-0.19047619047619047,0.4444444444444444,1.5396825396825398,0.34920634920634913,2.2857142857142856,-0.4375,0.71875,0.71875,-0.71875,5.261538461538462,,0,20.88571428571429
MIN,2020,00-0033893,Dalvin Cook,14,2,1.0,00-0034972,00-0034972,1,Alexander Mattison,Alexander Mattison,22.285714285714285,0.4903846153846154,0.4903846153846154,0.14743589743589744,-0.3621794871794871,3.857142857142857,0.4629629629629629,0.4629629629629629,0.5555555555555556,0.01851851851851845,2.7142857142857144,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.8421052631578947,5.28,16.75,2,24.128571428571426
MIN,2021,00-0033893,Dalvin Cook,13,4,0.5,00-0034972,00-0034972,1,Alexander Mattison,Alexander Mattison,19.153846153846153,0.929718875502008,0.929718875502008,0.14056224899598396,0.070281124497992,3.769230769230769,1.1122448979591837,1.1122448979591837,0.2908163265306123,0.4030612244897959,2.1538461538461537,1.1339285714285716,1.1339285714285716,0.34821428571428575,0.4821428571428571,3.2583333333333333,21.700000000000003,4,15.869230769230768
NE,2015,00-0027325,LeGarrette Blount,12,4,0.0,00-0028087,00-0029239,0,Dion Lewis,Brandon Bolden,13.75,0.06666666666666665,0.41818181818181815,0.8121212121212122,-0.1212121212121213,0.5833333333333334,-4.285714285714286,3.7142857142857144,5.7142857142857135,0.42857142857142855,,,,,,17.366666666666667,16.0,1,10.216666666666667
NE,2018,00-0034845,Sony Michel,13,3,0.3333333333333333,00-0031062,00-0031062,1,James White,James White,16.076923076923077,0.1881977671451356,0.1881977671451356,0.6507177033492824,-0.161084529505582,0.8461538461538461,2.878787878787878,2.878787878787878,-1.4545454545454548,0.42424242424242276,2.076923076923077,1.0246913580246912,1.0246913580246912,0.3703703703703703,0.3950617283950616,15.946153846153846,23.099999999999998,3,10.700000000000001
NE,2020,00-0035657,Damien Harris,10,6,0.16666666666666666,00-0030288,00-0034845,0,Rex Burkhead,Sony Michel,13.7,-0.11922141119221412,0.6301703163017033,0.8442822384428226,-0.27493917274939167,0.7,1.380952380952381,1.3809523809523812,-0.9523809523809541,-0.5714285714285745,1.1,0.15151515151515146,0.12121212121212117,0.0,-0.8484848484848484,8.671428571428573,15.633333333333333,3,9.129999999999999
